date,pm25,pm10,o3,no2,so2,co
2024-09-01,77,17,23,15,4,4
2024-09-02,41, , , , , 
2024-08-01,40,30,40,11,3,3
2024-08-02,57,35,54,9,3,4
2024-08-03,82,31,79,10,3,5
2024-08-04,76,31,54,15,3,5
2024-08-05,74,18,51,15,3,4
2024-08-06,38,20,38,12,3,3
2024-08-07,46,21,35,15,3,3
2024-08-08,55,31,61,15,3,4
2024-08-09,70,36,62,14,3,4
2024-08-10,82,30,51,10,3,4
2024-08-11,78,31,65,14,3,4
2024-08-12,71,28,59,13,3,4
2024-08-13,67,26,69,15,3,4
2024-08-14,61,24,58,13,3,4
2024-08-15,56,23,67,14,3,3
2024-08-16,49,23,71,13,3,3
2024-08-17,61,21,56,9,3,4
2024-08-18,53,26,63,14,3,4
2024-08-19,62,27,41,13,3,4
2024-08-20,65,13,16,9,3,3
2024-08-21,26,19,31,12,3,3
2024-08-22,32,27,66,18,3,5
2024-08-23,52,43,64,16,3,6
2024-08-24,97,42,71,13,4,6
2024-08-25,96,38,49,19,4,6
2024-08-26,94,21,33,15,4,4
2024-08-27,51,14,44,10,3,4
2024-08-28,30,10,42,8,4,3
2024-08-29,18,15,40,11,4,3
2024-08-30,25,41,69,11,4,5
2024-08-31,73,34,58,11,4,5
2024-07-01,68,18,29,14,3,4
2024-07-02,42,29,51,10,3,5
2024-07-03,59,44,75,11,3,6
2024-07-04,108,17,51,6,3,4
2024-07-05,33,31,42,13,3,5
2024-07-06,64,26,46,10,3,5
2024-07-07,56,12,24,15,3,3
2024-07-08,25,17,26,16,3,4
2024-07-09,41,13,42,12,3,3
2024-07-10,22,40,73,18,3,6
2024-07-11,93,44,64,20,3,6
2024-07-12,99,52,74,15,3,7
2024-07-13,124,32,41,8,3,4
2024-07-14,84,12,41,10,3,3
2024-07-15,24,14,32,13,3,4
2024-07-16,29,11,14,11,3,3
2024-07-17,17,10,20,15,3,3
2024-07-18,19,27,52,13,3,4
2024-07-19,66,17,38,10,3,3
2024-07-20,36,23,39,8,3,3
2024-07-21,45,15,13,10,3,3
2024-07-22,25,12,17,9,3,2
2024-07-23,22,15,18,10,3,2
2024-07-24,26,22,32,12,4,2
2024-07-25,38,15,29,12,3,2
2024-07-26,33,16,18,10,3,3
2024-07-27,30,18,16,5,3,2
2024-07-28,27,22,25,8,3,2
2024-07-29,34,27,47,11,3,2
2024-07-30,52,18,25,10,3,2
2024-07-31,31,21,33,10,3,3
2024-04-01,62,56,52,41,5,6
2024-04-02,89,48,25,40,4,6
2024-04-03,84,35,43,18,3,4
2024-04-04,62,45,50,19,4,5
2024-04-05,77,64,53,33,4,7
2024-04-06,136,59,72,30,4,7
2024-04-07,118,58,43,38,4,6
2024-04-08,97,44,49,15,3,4
2024-04-09,75,47,49,13,3,4
2024-04-10,72,54,42,25,4,6
2024-04-11,82,54,47,31,4,6
2024-04-12,87,46,48,22,4,5
2024-04-13,75,49,83,24,5,6
2024-04-14,85,24,39,19,4,5
2024-04-15,51,65,37,19,3,5
2024-04-16,93,109,33,25,3,6
2024-04-17,140,93,45,30,4,6
2024-04-18,102,82,85,30,5,6
2024-04-19,110,56,43,24,4,6
2024-04-20,95,17,47,6,3,3
2024-04-21,28,33,49,11,3,4
2024-04-22,67,23,46,10,3,3
2024-04-23,49,13,32,12,3,4
2024-04-24,24,34,56,21,3,5
2024-04-25,77,64,51,30,4,6
2024-04-26,98,54,58,24,4,6
2024-04-27,80,43,85,25,4,6
2024-04-28,82,48,52,16,4,4
2024-04-29,78,61,44,25,5,6
2024-04-30,116,30,49,12,3,4
2024-05-01,61,40,53,21,4,5
2024-05-02,72,53,73,30,5,5
2024-05-03,92,59,111,31,5,7
2024-05-04,114,25,41,12,3,4
2024-05-05,57,11,41,9,3,4
2024-05-06,27,23,38,12,3,4
2024-05-07,51,22,34,13,3,3
2024-05-08,43,32,57,19,4,4
2024-05-09,63,35,52,16,4,4
2024-05-10,66,22,35,12,3,3
2024-05-11,37,64,41,9,3,4
2024-05-12,68,35,45,20,4,5
2024-05-13,63,31,54,23,4,4
2024-05-14,62,26,38,15,4,4
2024-05-15,39,18,42,11,3,3
2024-05-16,26,49,64,20,4,5
2024-05-17,84,30,46,17,4,4
2024-05-18,53,27,56,11,4,4
2024-05-19,52,34,28,15,4,3
2024-05-20,65,46,59,18,4,5
2024-05-21,101,56,56,21,4,6
2024-05-22,123,37,42,19,4,4
2024-05-23,80,41,33,14,3,4
2024-05-24,91,37,45,15,3,4
2024-05-25,73,26,40,10,3,4
2024-05-26,57,29,44,9,3,4
2024-05-27,47,18,33,13,3,3
2024-05-28,31,29,45,24,4,4
2024-05-29,55,31,42,31,4,5
2024-05-30,67,28,45,17,4,4
2024-05-31,57,33,39,9,3,4
2024-06-01,62,25,46,9,3,3
2024-06-02,48,14,40,19,3,3
2024-06-03,30,20,43,16,3,3
2024-06-04,36,42,74,26,5,5
2024-06-05,82,47,99,24,5,5
2024-06-06,101,35,68,21,4,4
2024-06-07,76,27,40,13,3,4
2024-06-08,69,33,76,13,4,5
2024-06-09,76,51,92,17,4,6
2024-06-10,100,60,96,14,4,6
2024-06-11,124,36,84,18,4,4
2024-06-12,69,37,65,22,4,4
2024-06-13,72,43,76,22,6,4
2024-06-14,82,30,30,13,4,3
2024-06-15,76,27,46,10,3,4
2024-06-16,61,25,55,19,4,4
2024-06-17,53,29,73,23,4,4
2024-06-18,63,46,136,22,5,5
2024-06-19,95,44,114,21,5,5
2024-06-20,95,43,78,26,6,5
2024-06-21,86,32,35,18,5,5
2024-06-22,81,17,40,7,3,3
2024-06-23,43,53,60,11,3,4
2024-06-24,79,23,40,13,4,3
2024-06-25,41,29,65,17,4,4
2024-06-26,61,34,77,23,4,4
2024-06-27,66,46,108,23,4,5
2024-06-28,94,33,62,15,4,5
2024-06-29,79,20,44,6,3,3
2024-06-30,51,31,83,12,3,4
2024-01-01,81,41,20,24,4,6
2024-01-02,103,44,25,29,4,6
2024-01-03,102,55,14,37,5,9
2024-01-04,124,71,26,36,4,10
2024-01-05,149,28,22,20,4,5
2024-01-06,56,26,25,11,4,5
2024-01-07,56,25,15,30,4,7
2024-01-08,62,38,2,45,5,9
2024-01-09,95,64,7,44,4,10
2024-01-10,154,58,11,41,4,8
2024-01-11,136,51,23,24,4,6
2024-01-12,105,29,17,32,5,6
2024-01-13,59,34,26,38,3,9
2024-01-14,85,25,22,18,4,4
2024-01-15,48,35,16,39,5,8
2024-01-16,76,41,2,46,5,10
2024-01-17,98,30,25,31,4,7
2024-01-18,83,15,28,15,4,5
2024-01-19,39,5,30,11,3,3
2024-01-20,8,13,27,14,4,5
2024-01-21,33,33,27,11,3,4
2024-01-22,82,24,24,8,3,3
2024-01-23,49,24,24,8,3,4
2024-01-24,48,26,21,21,4,5
2024-01-25,59,36,17,40,4,7
2024-01-26,86,54,28,38,4,9
2024-01-27,128,33,26,27,4,6
2024-01-28,81,47,26,38,4,8
2024-01-29,109,57,17,51,4,10
2024-01-30,134,57,30,47,5,9
2024-01-31,131,70,23,32,5,10
2024-02-01,156,32,23,34,4,6
2024-02-02,77,37,15,39,4,7
2024-02-03,91,28,22,30,4,6
2024-02-04,69,8,23,16,3,3
2024-02-05,18,14,21,28,3,4
2024-02-06,41,34,21,27,3,7
2024-02-07,88,39,26,34,4,7
2024-02-08,95,31,31,30,3,6
2024-02-09,85,46,40,24,4,6
2024-02-10,105,57,38,23,4,7
2024-02-11,140,62,34,31,4,9
2024-02-12,145,65,38,39,5,9
2024-02-13,134,52,34,43,5,8
2024-02-14,103,24,30,16,3,5
2024-02-15,63,30,22,30,4,6
2024-02-16,72,40,28,40,4,8
2024-02-17,112,41,14,35,3,7
2024-02-18,103,14,15,30,3,7
2024-02-19,36,31,27,21,3,6
2024-02-20,59,4,27,13,3,4
