date, pm10, o3, no2, so2, co
2024/9/1, 79, 16, 8, 5, 2
2024/9/2, 84, , , , 
2024/8/8, 72, 12, 5, 12, 6
2024/8/9, 71, 9, 5, 3, 3
2024/8/10, 110, 12, 6, 8, 2
2024/8/11, 85, 18, 3, 26, 6
2024/8/12, 68, 23, 2, 36, 1
2024/8/13, 86, 23, 3, 52, 4
2024/8/14, 47, 19, 4, 32, 2
2024/8/15, 83, 14, 4, 2, 1
2024/8/16, 29, 23, 4, 4, 5
2024/8/17, 19, 11, 3, 1, 7
2024/8/18, 33, 12, 6, 6, 3
2024/8/19, 27, 23, 4, 8, 2
2024/8/20, 59, 20, 3, 1, 2
2024/8/21, 101, 12, 8, 3, 3
2024/8/22, 53, 5, 6, 2, 5
2024/8/23, 34, 23, 7, 7, 4
2024/8/24, 57, 18, 7, 6, 2
2024/8/25, 91, 18, 6, 12, 1
2024/8/26, 107, 20, 5, 16, 2
2024/8/27, 121, 16, 8, 4, 4
2024/8/28, 126, 10, 6, 2, 2
2024/8/29, 37, 13, 12, 2, 1
2024/8/30, 49, 10, 6, 2, 1
2024/8/31, 23, 17, 5, 2, 2
2024/7/1, 96, 21, 2, 5, 5
2024/7/2, 90, 28, 3, 10, 2
2024/7/3, 126, 23, 4, 4, 15
2024/7/4, 98, 9, 4, 1, 10
2024/7/5, 119, 29, 6, 10, 8
2024/7/6, 142, 27, 4, 12, 6
2024/7/7, 131, 29, 2, 30, 11
2024/7/8, 110, 24, 3, 15, 18
2024/7/9, 106, 26, 5, 17, 13
2024/7/10, 104, 26, 1, 6, 16
2024/7/11, 58, 13, 1, 1, 10
2024/7/12, 24, 15, 2, 8, 4
2024/7/13, 25, 15, 3, 5, 5
2024/7/14, 33, 23, 3, 10, 4
2024/7/15, 56, 28, 3, 4, 10
2024/7/16, 74, 22, 4, 8, 10
2024/7/17, 90, 19, 4, 10, 8
2024/7/18, 118, 23, 5, 26, 10
2024/7/19, 102, 25, 3, 23, 17
2024/7/20, 107, 16, 3, 1, 17
2024/7/21, 34, 14, 4, 5, 7
2024/7/22, 26, 30, 6, 10, 4
2024/7/23, 53, 15, 4, 5, 13
2024/7/24, 60, 11, 7, 2, 8
2024/4/1, 44, 17, 9, 6, 6
2024/4/2, 60, , 7, 6, 6
2024/4/3, 95, , 8, 10, 6
2024/4/4, 112, , 12, 7, 10
2024/4/5, 94, , 13, 8, 15
2024/4/6, 125, , 6, 9, 10
2024/4/7, 125, , 6, 16, 6
2024/4/8, 91, , 9, 17, 4
2024/4/9, 71, , 12, 12, 8
2024/4/10, 106, , 13, 8, 15
2024/4/11, 128, , 12, 9, 14
2024/4/12, 111, , 2, 7, 6
2024/4/13, 483, , 4, 4, 3
2024/4/14, 109, , 7, 8, 9
2024/4/15, 80, 11, 10, 11, 8
2024/4/16, 93, 19, 7, 6, 5
2024/4/17, 86, 23, 6, 3, 4
2024/4/18, 86, 22, 8, 14, 5
2024/4/19, 75, 17, 5, 18, 8
2024/4/20, 73, 17, 6, 5, 4
2024/4/21, 26, 22, 5, 6, 8
2024/4/22, 48, 22, 8, 5, 11
2024/4/23, 105, 22, 7, 26, 10
2024/4/24, 75, 20, 3, 8, 3
2024/4/25, 84, 22, 5, 3, 4
2024/4/26, 92, 20, 5, 1, 7
2024/4/27, 92, 21, 5, 7, 5
2024/4/28, 90, 21, 8, 7, 6
2024/4/29, 99, 20, 8, 19, 5
2024/4/30, 86, 22, 5, 6, 3
2024/5/1, 86, 19, 7, 8, 4
2024/5/2, 87, 20, 9, 6, 6
2024/5/3, 146, 28, 3, 3, 4
2024/5/4, 64, 23, 3, 6, 2
2024/5/5, 64, 21, 7, 10, 4
2024/5/6, 65, 21, 5, 11, 3
2024/5/7, 83, 20, 5, 6, 4
2024/5/8, 95, 18, 6, 6, 5
2024/5/9, 47, 25, 5, 4, 3
2024/5/10, 45, 23, 3, 3, 4
2024/5/11, 77, 19, 3, 6, 5
2024/5/12, 87, 20, 4, 4, 4
2024/5/13, 113, 22, 6, 5, 3
2024/5/14, 103, 20, 5, 7, 4
2024/5/15, 116, 20, 8, 7, 2
2024/5/16, 100, 17, 5, 3, 10
2024/5/17, 99, 20, 5, 3, 7
2024/5/18, 65, 25, 3, 5, 7
2024/5/19, 82, 24, 4, 5, 4
2024/5/20, 111, 21, 9, 9, 3
2024/5/21, 94, 16, 3, 4, 2
2024/5/22, 68, 20, 4, 2, 4
2024/5/23, 62, 10, 6, 1, 4
2024/5/24, 25, 20, 5, 1, 5
2024/5/25, 65, 22, 4, 6, 5
2024/5/26, 91, 25, 3, 4, 4
2024/5/27, 110, 14, 6, 1, 5
2024/5/28, 81, 17, 5, 2, 4
2024/5/29, 66, 16, 4, 4, 7
2024/5/30, 57, 20, 6, 1, 5
2024/5/31, 75, 21, 2, 2, 4
2024/6/1, 94, 24, 2, 2, 3
2024/6/2, 75, 27, 1, 2, 3
2024/6/3, 54, 27, 1, 4, 3
2024/6/4, 56, 23, 4, 1, 3
2024/6/5, 77, 22, 4, 1, 3
2024/6/6, 42, 20, 5, 3, 4
2024/6/7, 56, 21, 3, 4, 3
2024/6/8, 74, 22, 3, 7, 3
2024/6/9, 78, 23, 3, 4, 1
2024/6/10, 108, 22, 4, 2, 4
2024/6/11, 77, 18, 5, 4, 3
2024/6/12, 65, 19, 5, 3, 3
2024/6/13, 86, 19, 6, 5, 3
2024/6/14, 80, 19, 5, 3, 2
2024/6/15, 98, 23, 3, 6, 2
2024/6/16, 109, 28, 2, 19, 5
2024/6/17, 118, 24, 3, 8, 24
2024/6/18, 183, 19, 3, 1, 7
2024/6/19, 97, 28, 2, 1, 5
2024/6/20, 55, 12, 1, , 4
2024/6/21, 93, , , , 
2024/6/24, 153, 18, 4, 1, 2
2024/6/25, 124, 19, 6, 4, 2
2024/6/26, 105, 10, 8, 2, 4
2024/6/27, 64, 19, 4, 4, 3
2024/6/28, 68, 12, 9, 3, 7
2024/6/29, 60, 9, 8, 1, 6
2024/6/30, 98, 25, 3, 6, 3
2024/1/1, 126, 4, 60, 68, 34
2024/1/2, 159, 8, 52, 77, 40
2024/1/3, 170, 22, 9, 20, 8
2024/1/4, 51, 9, 33, 31, 22
2024/1/5, 109, 10, , 46, 24
2024/1/6, 125, 3, , 93, 41
2024/1/7, 181, 4, , 96, 38
2024/1/8, 243, 8, 66, 56, 30
2024/1/9, 124, 11, 76, 84, 33
2024/1/10, 231, 11, 45, 39, 22
2024/1/11, 116, 13, 44, 60, 35
2024/1/12, 128, 25, 9, 16, 10
2024/1/13, 54, 13, 33, 51, 21
2024/1/14, 117, 7, 52, 77, 39
2024/1/15, 177, 10, 40, 69, 37
2024/1/16, 142, 10, 25, 38, 19
2024/1/17, 116, 9, 29, 38, 24
2024/1/18, 125, 15, 13, 36, 19
2024/1/19, 108, 21, 13, 19, 11
