date, pm25, pm10, o3, no2, so2, co
2024/9/1, 44, 28, , 9, 4, 4
2024/9/2, 51, , , , , 
2024/8/1, 56, 28, , 5, 6, 6
2024/8/2, 47, 36, , 4, 4, 8
2024/8/3, 80, 21, , 2, 3, 5
2024/8/4, 63, 34, , 4, 3, 8
2024/8/5, 56, 33, , 6, 3, 8
2024/8/6, 54, 37, , 5, 3, 8
2024/8/7, 70, 46, , 7, 3, 8
2024/8/8, 85, 48, , 7, 3, 7
2024/8/9, 94, 24, , 2, 3, 6
2024/8/10, 64, 47, , 3, 3, 7
2024/8/11, 85, 29, , 3, 3, 5
2024/8/12, 55, 16, , 4, 2, 4
2024/8/13, 37, 21, , 4, 2, 4
2024/8/14, 45, 23, , 5, 3, 4
2024/8/15, 47, 34, , 5, 4, 5
2024/8/16, 63, 47, , 10, 5, 5
2024/8/17, 80, 34, , 7, 3, 6
2024/8/18, 73, 30, , 5, 3, 5
2024/8/19, 69, 11, , 5, 2, 5
2024/8/20, 37, 23, , 4, 2, 6
2024/8/21, 50, 28, , 5, 2, 6
2024/8/22, 57, 27, , 6, 3, 6
2024/8/23, 43, 32, , 5, 3, 6
2024/8/24, 67, 34, , 8, 4, 5
2024/8/25, 55, 35, , 11, 5, 7
2024/8/26, 61, 36, , 8, 3, 6
2024/8/27, 54, 34, , 8, 5, 6
2024/8/28, 62, 41, , 7, 5, 7
2024/8/29, 72, 41, , 7, 4, 7
2024/8/30, 78, 27, , 5, 4, 5
2024/8/31, 46, 32, , 5, 4, 6
2024/7/1, 102, 55, , 11, 6, 7
2024/7/2, 114, 35, , 7, 4, 6
2024/7/3, 75, 39, , 12, 5, 8
2024/7/4, 72, 46, , 10, 4, 9
2024/7/5, 106, 86, , 7, 4, 9
2024/7/6, 114, 34, , 7, 4, 7
2024/7/7, 65, 59, , 10, 3, 9
2024/7/8, 117, 59, , 9, 4, 7
2024/7/9, 116, 61, , 12, 4, 8
2024/7/10, 138, 64, , 10, 5, 8
2024/7/11, 142, 81, , 6, 7, 10
2024/7/12, 145, 70, , 8, 5, 10
2024/7/13, 114, 47, , 6, 4, 8
2024/7/14, 84, 39, , 5, 4, 5
2024/7/15, 73, 39, , 4, 4, 6
2024/7/16, 60, 45, , 5, 4, 6
2024/7/17, 73, 41, , 8, 5, 8
2024/7/18, 90, 48, , 9, 3, 8
2024/7/19, 94, 51, , 5, 2, 7
2024/7/20, 75, 78, , 7, 2, 8
2024/7/21, 86, 51, , 4, 3, 7
2024/7/22, 69, 41, , 6, 3, 7
2024/7/23, 50, 36, , 5, 7, 7
2024/7/24, 57, 33, , 5, 3, 6
2024/7/25, 33, 22, , 3, 2, 5
2024/7/26, 38, 33, , 3, 2, 6
2024/7/27, 46, 41, , 3, 2, 5
2024/7/28, 44, 83, , 5, 2, 7
2024/7/29, 58, 50, , 8, 3, 7
