date, pm25, pm10, o3, no2, so2, co
2024/9/1, 65, 37, , 9, 2, 5
2024/9/2, 77, , , , , 
2024/8/1, 77, 32, , 8, 1, 4
2024/8/2, 60, 25, , 5, 1, 3
2024/8/3, 49, 18, , 5, 1, 3
2024/8/4, 33, 23, , 4, 1, 3
2024/8/5, 41, 29, , 6, 2, 4
2024/8/6, 60, 26, , 5, 1, 4
2024/8/7, 55, 30, , 5, 2, 4
2024/8/8, 56, 32, , 7, 2, 4
2024/8/9, 63, 30, , 11, 2, 4
2024/8/10, 41, 46, , 14, 1, 4
2024/8/11, 62, 53, , 13, 2, 5
2024/8/12, 76, 47, , 11, 2, 4
2024/8/13, 74, 51, , 11, 3, 4
2024/8/14, 85, 34, , 7, 2, 4
2024/8/15, 64, 38, , 12, 2, 4
2024/8/16, 80, 31, , 13, 1, 5
2024/8/17, 60, 32, , 9, 1, 4
2024/8/18, 64, 32, , 9, 2, 4
2024/8/19, 66, 43, , 10, 2, 5
2024/8/20, 94, 51, , 8, 2, 6
2024/8/21, 118, 53, , 8, 3, 5
2024/8/22, 121, 49, , 8, 2, 5
2024/8/23, 111, 33, , 8, 2, 4
2024/8/24, 63, 46, , 9, 2, 5
2024/8/25, 104, 34, , 6, 2, 4
2024/8/26, 69, 39, , 7, 2, 4
2024/8/27, 78, 45, , 7, 3, 4
2024/8/28, 90, 33, , 4, 2, 3
2024/8/29, 67, 33, , 6, 3, 4
2024/8/30, 63, 37, , 7, 2, 4
2024/8/31, 74, 29, , 6, 2, 4
2024/7/1, 37, 29, , 12, 2, 3
2024/7/2, 53, 19, , 3, 1, 2
2024/7/3, 37, 21, , 5, 1, 3
2024/7/4, 37, 28, , 6, 1, 3
2024/7/5, 79, 41, , 6, 2, 5
2024/7/6, 82, 31, , 4, 1, 4
2024/7/7, 67, 13, , 3, 1, 3
2024/7/8, 29, 13, , 2, 1, 3
2024/7/9, 26, 18, , 6, , 5
2024/7/10, 37, 24, , 9, 1, 4
2024/7/11, 45, 26, , 10, 3, 5
2024/7/12, 45, 19, , 3, 2, 4
2024/7/13, 39, 11, , 2, 2, 4
2024/7/14, 25, 15, , 4, 1, 5
2024/7/15, 34, 17, , 4, 1, 4
2024/7/16, 40, 19, , 3, 1, 3
2024/7/17, 43, 17, , 4, 1, 4
2024/7/18, 38, 20, , 5, 1, 5
2024/7/19, 44, 19, , 4, 1, 5
2024/7/20, 37, 22, , 6, 1, 6
2024/7/21, 48, 23, , 5, 1, 6
2024/7/22, 46, 28, , 6, 1, 6
2024/7/23, 60, 22, , 3, 1, 5
2024/7/24, 46, 42, , 9, 1, 4
2024/7/25, 48, 52, , 10, 2, 5
2024/7/26, 70, 49, , 11, 1, 4
2024/7/27, 67, 23, , 6, 1, 3
2024/7/28, 43, 22, , 7, 1, 2
2024/7/29, 38, 25, , 9, 1, 3
2024/7/30, 44, 28, , 9, 2, 4
2024/7/31, 59, 36, , 9, 2, 5
2024/4/1, 89, 51, , 8, 1, 4
2024/4/2, 89, 67, , 9, 1, 4
2024/4/3, 107, 54, , 9, 1, 4
2024/4/4, 77, 28, , 5, 1, 4
2024/4/5, 54, 32, , 7, 1, 4
2024/4/6, 51, 29, , 10, 1, 4
2024/4/7, 56, 35, , 14, 1, 6
2024/4/8, 66, 40, , 14, 1, 5
2024/4/9, 79, 30, , 8, 1, 3
2024/4/10, 60, 27, , 8, 1, 3
2024/4/11, 50, 36, , 9, 1, 4
2024/4/12, 71, 52, , 15, 1, 6
2024/4/13, 116, 58, , 15, 1, 6
2024/4/14, 128, 64, , 16, 3, 6
2024/4/15, 132, 49, , 7, 1, 4
2024/4/16, 88, 48, , 9, 1, 5
2024/4/17, 91, 27, , 9, , 5
2024/4/18, 56, 29, , 9, 1, 5
2024/4/19, 43, 54, , 10, 1, 4
2024/4/20, 84, 80, , 10, 1, 4
2024/4/21, 116, 53, , 6, 1, 4
2024/4/22, 85, 32, , 13, 2, 4
2024/4/23, 49, 29, , 7, 2, 2
2024/4/24, 32, 29, , 8, 1, 3
2024/4/25, 42, 56, , 13, 1, 4
2024/4/26, 121, 53, , 11, 1, 4
2024/4/27, 109, 73, , 11, 2, 6
2024/4/28, 161, 41, , 6, 1, 4
2024/4/29, 85, 14, , 7, 1, 2
2024/4/30, 22, 35, , 10, 1, 3
2024/5/1, 79, 22, , 7, 1, 3
2024/5/2, 45, 18, , 5, 1, 3
2024/5/3, 36, 21, , 10, 1, 4
2024/5/4, 41, 36, , 12, 2, 4
2024/5/5, 69, 52, , 18, 2, 5
2024/5/6, 107, 56, , 25, 1, 7
2024/5/7, 112, 39, , 16, 1, 6
2024/5/8, 76, 35, , 9, 1, 3
2024/5/9, 71, 46, , 10, 1, 4
2024/5/10, 106, 49, , 12, 1, 4
2024/5/11, 90, 48, , 12, 2, 3
2024/5/12, 61, 37, , 7, 2, 2
2024/5/13, 47, 48, , 11, 1, 3
2024/5/14, 72, 55, , 13, 2, 4
2024/5/15, 113, 55, , 12, 2, 4
2024/5/16, 112, 64, , 17, 2, 5
2024/5/17, 129, 57, , 12, 2, 4
2024/5/18, 122, 37, , 7, 1, 3
2024/5/19, 77, 27, , 8, 2, 3
2024/5/20, 43, 33, , 6, 1, 3
2024/5/21, 56, 45, , 10, 1, 4
2024/5/22, 82, 49, , 10, 1, 4
2024/5/23, 99, 48, , 11, 1, 4
2024/5/24, 98, 45, , 7, 2, 4
2024/5/25, 87, 35, , 5, 1, 3
2024/5/26, 46, 40, , 8, 1, 4
2024/5/27, 66, 26, , 7, 1, 3
2024/5/28, 51, 18, , 3, 1, 3
2024/5/29, 44, 26, , 8, 1, 2
2024/5/30, 37, 46, , 13, 2, 3
2024/5/31, 56, 44, , 9, 1, 3
2024/6/1, 62, 26, , 3, 1, 3
2024/6/2, 50, 35, , 7, , 4
2024/6/3, 66, 27, , 4, 1, 3
2024/6/4, 46, 28, , 6, 1, 3
2024/6/5, 47, 33, , 8, 1, 5
2024/6/6, 68, 33, , 7, 1, 5
2024/6/7, 61, 36, , 11, 2, 6
2024/6/8, 70, 35, , 8, 1, 4
2024/6/9, 55, 51, , 12, 2, 6
2024/6/10, 101, 28, , 7, 1, 3
2024/6/11, 48, 30, , 5, 1, 4
2024/6/12, 45, 44, , 15, 2, 6
2024/6/13, 81, 57, , 12, 2, 6
2024/6/14, 117, 54, , 15, 2, 6
2024/6/15, 97, 40, , 7, 1, 5
2024/6/16, 79, 23, , 5, 1, 4
2024/6/17, 32, 37, , 9, 1, 5
2024/6/18, 60, 30, , 7, 1, 5
2024/6/19, 58, 32, , 8, 1, 6
2024/6/20, 67, 33, , 8, 1, 6
2024/6/21, 63, 30, , 9, 1, 4
2024/6/22, 39, 48, , 13, 3, 6
2024/6/23, 73, 43, , 12, 2, 5
2024/6/24, 74, 29, , 7, 1, 4
2024/6/25, 48, 31, , 6, 1, 4
2024/6/26, 46, 27, , 6, 1, 4
2024/6/27, 45, 31, , 6, 2, 4
2024/6/28, 52, 42, , 8, 3, 5
2024/6/29, 79, 43, , 9, 2, 5
2024/6/30, 84, 23, , 5, 1, 2
2024/1/1, 196, 75, , 21, , 9
2024/1/2, 163, 68, , 22, 1, 8
2024/1/3, 154, 59, , 16, , 6
2024/1/4, 151, 75, , 27, 1, 9
2024/1/5, 162, 77, , 31, 1, 9
2024/1/6, 165, 75, , 29, 1, 9
2024/1/7, 164, 94, , 32, 2, 12
2024/1/8, 181, 77, , 17, 2, 8
2024/1/9, 167, 79, , 27, 2, 12
2024/1/10, 167, 85, , 28, 1, 10
