date, pm25, pm10, o3, no2, so2, co
2024/9/1, 60, 19, 16, 10, 2, 6
2024/9/2, 48, , , , , 
2024/8/1, 56, 30, 35, 11, 2, 6
2024/8/2, 65, 26, 64, 7, 2, 4
2024/8/3, 56, 33, 85, 10, 2, 6
2024/8/4, 68, 36, 80, 10, 3, 5
2024/8/5, 75, 42, 75, 16, 3, 6
2024/8/6, 79, 43, 85, 21, 2, 8
2024/8/7, 84, 32, 66, 10, 2, 6
2024/8/8, 69, 26, 61, 7, 2, 6
2024/8/9, 56, 27, 45, 6, 2, 6
2024/8/10, 55, 25, 37, 8, 2, 7
2024/8/11, 51, 25, 50, 14, 2, 7
2024/8/12, 55, 30, 59, 13, 2, 5
2024/8/13, 59, 29, 34, 16, 2, 6
2024/8/14, 63, 19, 15, 16, 2, 5
2024/8/15, 49, 20, 36, 14, 2, 5
2024/8/16, 46, 14, 32, 9, 2, 5
2024/8/17, 40, 17, 34, 11, 2, 5
2024/8/18, 50, 22, 39, 13, 2, 7
2024/8/19, 62, 26, 40, 10, 2, 6
2024/8/20, 63, 17, 8, 14, 2, 3
2024/8/21, 45, 21, 29, 12, 2, 3
2024/8/22, 48, 35, 44, 17, 2, 4
2024/8/23, 69, 40, 92, 14, 3, 3
2024/8/24, 76, 24, 52, 9, 2, 3
2024/8/25, 55, 31, 76, 14, 2, 3
2024/8/26, 69, 32, 69, 11, 2, 4
2024/8/27, 85, 45, 65, 14, 3, 6
2024/8/28, 113, 25, 44, 11, 2, 6
2024/8/29, 61, 26, 74, 11, 2, 6
2024/8/30, 63, 21, 32, 12, 2, 5
2024/8/31, 48, 27, 80, 11, 2, 6
2024/7/1, 46, 23, 30, 5, 2, 3
2024/7/2, 46, 16, 29, 5, 2, 3
2024/7/3, 33, 16, 27, 8, 2, 4
2024/7/4, 36, 18, 6, 10, 2, 4
2024/7/5, 46, 16, 39, 6, 2, 3
2024/7/6, 36, 15, 35, 5, 2, 4
2024/7/7, 32, 32, 45, 5, 2, 4
2024/7/8, 34, 22, 54, 6, 2, 5
2024/7/9, 42, 17, 51, 6, 2, 5
2024/7/10, 38, 16, 42, 6, 2, 5
2024/7/11, 33, 18, 44, 6, 2, 5
2024/7/12, 39, 17, 34, 5, 2, 5
2024/7/13, 29, 26, 51, 8, 2, 6
2024/7/14, 51, 19, 42, 8, 2, 6
2024/7/15, 34, 26, 33, 9, 2, 5
2024/7/16, 43, 47, 35, 9, 2, 4
2024/7/17, 58, 16, 15, 10, 2, 5
2024/7/18, 40, 21, 26, 12, 2, 5
2024/7/19, 44, 25, 31, 10, 2, 5
2024/7/20, 46, 19, 32, 6, 2, 4
2024/7/21, 39, 21, 40, 8, 2, 5
2024/7/22, 43, 17, 49, 7, 2, 3
2024/7/23, 34, 23, 60, 7, 2, 3
2024/7/24, 49, 34, 67, 8, 3, 4
2024/7/25, 68, 35, 59, 8, 2, 5
2024/7/26, 74, 17, 24, 13, 2, 5
2024/7/27, 49, 12, 14, 11, 2, 4
2024/7/28, 33, 14, 20, 10, 2, 4
2024/7/29, 40, 15, 26, 10, 2, 4
2024/7/30, 39, 16, 23, 8, 2, 5
2024/7/31, 40, 25, 29, 8, 2, 5
2024/4/1, 90, 43, 24, 7, 2, 3
2024/4/2, 103, 33, 13, 11, , 4
2024/4/3, 66, 28, 16, 9, 2, 3
2024/4/4, 57, 18, 19, 15, 2, 6
2024/4/5, 46, 19, 14, 14, 2, 6
2024/4/6, 53, 18, 1, 15, 2, 6
2024/4/7, 40, 22, 5, 13, 2, 7
2024/4/8, 47, 23, 31, 14, 2, 5
2024/4/9, 49, 40, 75, 15, 2, 6
2024/4/10, 74, 50, 73, 16, 2, 5
2024/4/11, 86, 50, 53, 17, 3, 5
2024/4/12, 93, 49, 60, 21, 2, 5
2024/4/13, 86, 34, 32, 10, , 4
2024/4/14, 67, 36, 35, 14, 2, 4
2024/4/15, 71, 34, 35, 12, 3, 3
2024/4/16, 71, 33, 27, 10, 2, 3
2024/4/17, 67, 32, 34, 14, 2, 4
2024/4/18, 72, 30, 13, 16, 2, 4
2024/4/19, 65, 20, 29, 9, 2, 3
2024/4/20, 46, 17, 19, 14, 2, 4
2024/4/21, 49, 32, 35, 19, 2, 6
2024/4/22, 75, 26, 17, 26, 2, 5
2024/4/23, 68, 38, 32, 22, 3, 6
2024/4/24, 85, 18, 24, 15, 2, 4
2024/4/25, 45, 28, 40, 17, 2, 4
2024/4/26, 59, 36, 25, 21, 2, 5
2024/4/27, 72, 24, 25, 21, 2, 5
2024/4/28, 61, 26, 9, 17, 2, 4
2024/4/29, 53, 22, 36, 11, , 4
2024/4/30, 54, 19, 24, 12, 2, 5
2024/5/1, 52, 24, 12, 12, 2, 5
2024/5/2, 54, 40, 12, 18, 2, 6
2024/5/3, 80, 23, 22, 14, 2, 4
2024/5/4, 61, 26, 60, 13, 2, 3
2024/5/5, 64, 38, 82, 18, 2, 5
2024/5/6, 79, 35, 80, 14, 3, 6
2024/5/7, 81, 26, 32, 14, 2, 6
2024/5/8, 62, 40, 79, 11, 2, 5
2024/5/9, 85, 41, 61, 12, 2, 4
2024/5/10, 75, 38, 55, 10, 2, 4
2024/5/11, 61, 33, 31, 11, 2, 4
2024/5/12, 59, 33, 56, 10, 2, 4
2024/5/13, 62, 44, 104, 11, 2, 4
2024/5/14, 78, 46, 108, 16, 2, 4
2024/5/15, 83, 49, 110, 18, 3, 4
2024/5/16, 84, 54, 85, 16, 2, 4
2024/5/17, 90, 38, 53, 15, 2, 4
2024/5/18, 83, 29, 19, 15, 2, 5
2024/5/19, 69, 11, 10, 14, 2, 5
2024/5/20, 30, 11, 15, 11, 2, 4
2024/5/21, 19, 27, 52, 17, 2, 5
2024/5/22, 55, 33, 21, 17, 2, 5
2024/5/23, 78, 13, 14, 17, 2, 4
2024/5/24, 40, 18, 53, 13, 2, 3
2024/5/25, 53, 18, 25, 12, 2, 3
2024/5/26, 47, 21, 26, 12, 2, 3
2024/5/27, 55, 16, 29, 11, 2, 3
2024/5/28, 48, 24, 98, 11, 2, 4
2024/5/29, 58, 37, 59, 15, 2, 4
2024/5/30, 66, 17, 33, 10, 2, 4
2024/5/31, 41, 11, 25, 7, 2, 4
2024/6/1, 28, 19, 58, 9, 2, 5
2024/6/2, 54, 29, 26, 17, 2, 6
2024/6/3, 66, 26, 46, 13, 2, 5
2024/6/4, 58, 28, 30, 15, 2, 6
2024/6/5, 71, 14, 19, 11, 2, 5
2024/6/6, 29, 22, 18, 13, 2, 7
2024/6/7, 53, 21, 17, 15, 2, 6
2024/6/8, 55, 17, 20, 14, 2, 5
2024/6/9, 46, 19, 24, 12, 2, 4
2024/6/10, 45, 25, 24, 14, 2, 5
2024/6/11, 52, 27, 30, 12, 2, 4
2024/6/12, 58, 25, 41, 10, 2, 4
2024/6/13, 53, 28, 25, 10, 2, 2
2024/6/14, 60, 21, 23, 12, 2, 2
2024/6/15, 49, 20, 23, 15, 2, 2
2024/6/16, 49, 25, 34, 9, 2, 2
2024/6/17, 55, 23, 26, 9, 2, 2
2024/6/18, 45, 25, 38, 8, 2, 4
2024/6/19, 51, 25, 43, 7, , 4
2024/6/20, 51, 19, 39, 7, 2, 4
2024/6/21, 42, 30, 35, 5, 2, 3
2024/6/22, 68, 12, 30, 5, 2, 3
2024/6/23, 24, 14, 27, 7, 2, 4
2024/6/24, 28, 17, 24, 7, , 5
2024/6/25, 28, 24, 35, 10, 2, 5
2024/6/26, 55, 18, 41, 9, 2, 5
2024/6/27, 42, 19, 40, 6, 2, 5
2024/6/28, 33, 20, 31, 5, 2, 2
2024/6/29, 36, 23, 30, 4, 2, 3
2024/6/30, 39, 21, 30, 4, 2, 3
2024/1/1, 154, 63, 20, 17, 2, 7
2024/1/2, 134, 27, 32, 12, 2, 7
2024/1/3, 69, 40, 29, 19, 2, 7
2024/1/4, 87, 72, 69, 35, 3, 9
2024/1/5, 144, 74, 91, 42, 2, 9
2024/1/6, 148, 58, 75, 22, 3, 8
2024/1/7, 126, 59, 51, 19, 2, 7
2024/1/8, 120, 54, 24, 26, 2, 7
2024/1/9, 104, 27, 36, 13, 2, 6
