date, pm25, pm10, o3, no2, so2, co
2024/9/1, 97, 44, , 9, , 
2024/9/2, 111, , , , , 
2024/8/1, 47, 14, , 6, 2, 5
2024/8/2, 49, 30, , 7, 2, 6
2024/8/3, 81, 32, , 8, 2, 6
2024/8/4, 71, 26, , 7, 3, 5
2024/8/5, 65, 28, , 7, 3, 5
2024/8/6, 75, 39, , 8, 2, 5
2024/8/7, 88, 33, , 7, 2, 5
2024/8/8, 84, 33, , 7, , 6
2024/8/9, 79, 37, , 9, 2, 6
2024/8/10, 91, 32, , 7, 2, 6
2024/8/11, 77, 22, , 4, 2, 5
2024/8/12, 61, 17, , 5, 2, 5
2024/8/13, 55, 22, , 5, 2, 5
2024/8/14, 69, 28, , 7, 2, 5
2024/8/15, 65, 31, , 5, 2, 3
2024/8/16, 83, 30, , 8, 2, 4
2024/8/17, 80, 32, , 7, 2, 4
2024/8/18, 80, 21, , 6, 2, 4
2024/8/19, 49, 17, , 6, 2, 4
2024/8/20, 53, 12, , 5, 2, 5
2024/8/21, 41, 18, , 6, 2, 5
2024/8/22, 51, 27, , 6, 2, 5
2024/8/23, 74, 36, , 9, 3, 5
2024/8/24, 87, 35, , 6, 2, 5
2024/8/25, 87, 38, , 7, 2, 6
2024/8/26, 97, 39, , 7, 2, 6
2024/8/27, 96, 22, , 6, 2, 6
2024/8/28, 57, 20, , 6, 2, 4
2024/8/29, 60, 24, , 7, 2, 4
2024/8/30, 69, 40, , 7, 2, 5
2024/8/31, 96, 39, , 8, 2, 7
2024/7/1, 48, 17, , 3, 2, 4
2024/7/2, 48, 16, , 2, 2, 4
2024/7/3, 43, 18, , 4, 2, 5
2024/7/4, 53, 12, , 4, 2, 5
2024/7/5, 38, 19, , 5, 2, 6
2024/7/6, 52, 17, , 4, 2, 6
2024/7/7, 50, 19, , 5, , 6
2024/7/8, 58, 20, , 5, 2, 6
2024/7/9, 60, 20, , 4, 2, 5
2024/7/10, 58, 34, , 8, 2, 7
2024/7/11, 85, 29, , 7, 2, 6
2024/7/12, 95, 22, , 9, , 6
2024/7/13, 52, 22, , 6, 2, 6
2024/7/14, 56, 30, , 7, 2, 6
2024/7/15, 74, 25, , 6, 2, 5
2024/7/16, 61, 22, , 6, 2, 5
2024/7/17, 62, 20, , 5, 2, 5
2024/7/18, 50, 17, , 7, 2, 4
2024/7/19, 46, 21, , 6, 2, 4
2024/7/20, 56, 25, , 7, 2, 5
2024/7/21, 66, 24, , 6, 2, 4
2024/7/22, 61, 21, , 5, 2, 3
2024/7/23, 48, 20, , 4, , 3
2024/7/24, 41, 22, , 4, 2, 4
2024/7/25, 36, 17, , 5, 2, 4
2024/7/26, 39, 10, , 3, 2, 4
2024/7/27, 29, 11, , 3, 2, 4
2024/7/28, 40, 14, , 4, 2, 4
2024/7/29, 37, 14, , 4, 2, 4
2024/7/30, 35, 17, , 5, 2, 6
2024/7/31, 50, 19, , 5, 2, 5
2024/4/1, 115, 18, , 5, 1, 5
2024/4/2, 32, 10, , 5, 1, 6
2024/4/3, 32, 29, , 10, 1, 5
2024/4/4, 75, 41, , 9, 2, 4
2024/4/5, 89, 38, , 10, 1, 5
2024/4/6, 93, 30, , 11, 2, 4
2024/4/7, 74, 18, , 12, 1, 5
2024/4/8, 52, 31, , 11, 2, 5
2024/4/9, 71, 56, , 14, 3, 5
2024/4/10, 113, 51, , 14, 2, 5
2024/4/11, 107, 55, , 11, 2, 6
2024/4/12, 141, 39, , 11, 1, 5
2024/4/13, 112, 17, , 9, 1, 5
2024/4/14, 43, 40, , 8, 2, 7
2024/4/15, 94, 58, , 12, 2, 8
2024/4/16, 159, 15, , 10, 1, 5
2024/4/17, 47, 30, , 10, 2, 5
2024/4/18, 67, 47, , 14, 2, 5
2024/4/19, 86, 30, , 8, , 6
2024/4/20, 76, 28, , 7, 1, 5
2024/4/21, 83, 20, , 8, 2, 4
2024/4/22, 62, 22, , 8, 2, 5
2024/4/23, 63, 32, , 10, 2, 4
2024/4/24, 56, 41, , 13, 2, 4
2024/4/25, 82, 43, , 9, 2, 5
2024/4/26, 97, 37, , 7, 2, 4
2024/4/27, 91, 38, , 11, 2, 6
2024/4/28, 100, 20, , 7, 2, 5
2024/4/29, 64, 20, , 8, 2, 4
2024/4/30, 62, 22, , 7, 2, 4
2024/5/1, 66, 31, , 9, 2, 5
2024/5/2, 72, 36, , 7, 2, 4
2024/5/3, 74, 32, , 9, 2, 5
2024/5/4, 83, 21, , 9, 2, 7
2024/5/5, 62, 15, , 5, , 6
2024/5/6, 51, 35, , 9, 2, 7
2024/5/7, 90, 40, , 7, 2, 5
2024/5/8, 98, 27, , 9, 2, 4
2024/5/9, 63, 41, , 10, 2, 5
2024/5/10, 91, 39, , 7, , 6
2024/5/11, 99, 38, , 6, 2, 5
2024/5/12, 73, 53, , 7, 2, 4
2024/5/13, 83, 45, , 7, 2, 4
2024/5/14, 84, 52, , 7, 2, 4
2024/5/15, 91, 26, , 6, 2, 3
2024/5/16, 48, 31, , 8, 2, 4
2024/5/17, 74, 45, , 8, 2, 5
2024/5/18, 94, 43, , 6, 2, 4
2024/5/19, 88, 42, , 8, 2, 5
2024/5/20, 95, 29, , 7, 2, 4
2024/5/21, 70, 33, , 8, 3, 3
2024/5/22, 82, 48, , 8, 2, 5
2024/5/23, 116, 39, , 8, 2, 5
2024/5/24, 98, 38, , 7, 2, 5
2024/5/25, 98, 23, , 5, 2, 5
2024/5/26, 46, 16, , 6, , 6
2024/5/27, 49, 17, , 6, 2, 5
2024/5/28, 41, 23, , 8, 2, 4
2024/5/29, 64, 39, , 9, 2, 5
2024/5/30, 93, 22, , 5, 2, 5
2024/5/31, 52, 10, , 5, , 4
2024/6/1, 36, 20, , 5, 2, 3
2024/6/2, 62, 24, , 6, 2, 4
2024/6/3, 63, 36, , 7, 2, 5
2024/6/4, 85, 38, , 5, 2, 4
2024/6/5, 98, 21, , 6, 2, 3
2024/6/6, 59, 24, , 6, 2, 4
2024/6/7, 70, 28, , 5, 2, 6
2024/6/8, 76, 31, , 5, 2, 6
2024/6/9, 94, 20, , 5, , 5
2024/6/10, 68, 14, , 6, , 6
2024/6/11, 51, 17, , 4, 2, 5
2024/6/12, 51, 28, , 5, 2, 6
2024/6/13, 79, 41, , 6, 2, 6
2024/6/14, 104, 40, , 6, 2, 6
2024/6/15, 97, 41, , 6, 2, 6
2024/6/16, 106, 21, , 4, 2, 4
2024/6/17, 49, 21, , 5, 2, 4
2024/6/18, 55, 13, , 7, 2, 5
2024/6/19, 44, 10, , 4, 2, 5
2024/6/20, 26, 21, , 4, 2, 6
2024/6/21, 55, 22, , 2, , 5
2024/6/22, 54, 13, , 2, 2, 4
2024/6/23, 44, 13, , 4, , 5
2024/6/24, 39, 12, , 4, 2, 4
2024/6/25, 38, 9, , 6, , 5
2024/6/26, 41, 8, , 6, 2, 5
2024/6/27, 22, 10, , 4, 2, 4
2024/6/28, 42, 15, , 4, 2, 5
2024/6/29, 44, 19, , 3, 2, 5
2024/6/30, 53, 15, , 4, 2, 5
2024/1/1, 180, 96, , 20, 2, 8
2024/1/2, 174, 63, , 12, 2, 7
2024/1/3, 152, 69, , 16, 2, 8
2024/1/4, 154, 53, , 19, 2, 8
2024/1/5, 125, 75, , 19, 4, 9
2024/1/6, 158, 110, , 16, 3, 10
2024/1/7, 201, 66, , 17, 3, 6
2024/1/8, 138, 73, , 17, 2, 9
2024/1/9, 162, 92, , 11, 2, 8
2024/1/10, 178, 88, , 16, 2, 9
2024/1/11, 176, 57, , 18, 2, 7
2024/1/12, 135, 76, , 28, 3, 7
2024/1/13, 160, 87, , 18, 3, 8
2024/1/14, 159, 64, , 11, 2, 5
2024/1/15, 123, 45, , 13, 2, 4
2024/1/16, 79, 47, , 17, 2, 5
2024/1/17, 96, 57, , 21, 3, 7
2024/1/18, 127, 21, , 17, 2, 6
2024/1/19, 59, 12, , 10, 2, 7
2024/1/20, 45, 48, , 10, 2, 6
2024/1/21, 128, 40, , 6, 3, 4
2024/1/22, 95, 26, , 5, 3, 4
2024/1/23, 59, 32, , 7, 3, 5
2024/1/24, 77, 48, , 12, 4, 6
2024/1/25, 113, 57, , 14, 5, 6
2024/1/26, 142, 71, , 17, 4, 7
2024/1/27, 162, 68, , 15, 4, 7
2024/1/28, 159, 73, , 23, 3, 7
2024/1/29, 161, 56, , 13, 3, 6
2024/1/30, 145, 43, , 17, 3, 6
2024/1/31, 125, 12, , 14, 2, 5
2024/2/1, 35, 17, , 8, 2, 4
2024/2/2, 52, 13, , 7, 2, 6
2024/2/3, 40, 20, , 6, 3, 8
2024/2/4, 55, 26, , 4, 3, 7
2024/2/5, 79, 51, , 6, 2, 8
2024/2/6, 143, 57, , 5, 2, 8
2024/2/7, 148, 65, , 5, 2, 7
2024/2/8, 157, 65, , 5, 2, 7
2024/2/9, 159, 86, , 7, 2, 6
2024/2/10, 180, 55, , 6, 2, 4
2024/2/11, 132, 49, , 6, 2, 3
2024/2/12, 106, 36, , 5, 2, 2
2024/2/13, 86, 30, , 7, 2, 1
2024/2/14, 75, 31, , 7, 1, 1
2024/2/15, 77, 18, , 5, 1, 3
2024/2/16, 53, 24, , 6, 1, 5
2024/2/17, 63, 29, , 6, 1, 4
2024/2/18, 73, 36, , 9, 1, 4
2024/2/19, 94, 10, , 9, 1, 4
2024/2/20, 28, 6, , 7, 1, 5
2024/2/21, 20, 4, , 5, 1, 5
2024/2/22, 43, 26, , 4, 2, 5
2024/2/23, 70, 30, , 4, 2, 7
2024/2/24, 85, 46, , 3, 2, 6
2024/2/25, 126, 67, , 8, 2, 8
2024/2/26, 159, 63, , 8, 2, 7
2024/2/27, 148, 43, , 13, 2, 5
2024/2/28, 99, 17, , 6, 1, 6
2024/2/29, 60, 38, , 8, 2, 6
2024/3/1, 76, 46, , 9, 2, 6
2024/3/2, 93, 47, , 10, 2, 5
2024/3/3, 102, 50, , 16, 2, 6
2024/3/4, 104, 29, , 15, 2, 7
2024/3/5, 66, 38, , 8, 2, 4
2024/3/6, 87, 60, , 10, 2, 6
2024/3/7, 139, 59, , 8, 2, 4
2024/3/8, 125, 61, , 14, 3, 5
2024/3/9, 145, 67, , 15, 2, 4
2024/3/10, 143, 49, , 16, 2, 5
2024/3/11, 106, 54, , 12, 3, 5
2024/3/12, 120, 53, , 17, 2, 4
2024/3/13, 116, 70, , 34, 2, 7
2024/3/14, 140, 66, , 20, 2, 5
2024/3/15, 137, 37, , 15, 2, 4
2024/3/16, 80, 55, , 18, 2, 6
2024/3/17, 112, 59, , 15, 2, 4
2024/3/18, 81, 51, , 10, 2, 3
