date, pm25, pm10, o3, no2, so2, co
2024/9/1, 70, 25, , 6, 4, 6
2024/9/2, 65, , , , , 
2024/8/1, 61, 39, , 11, 3, 7
2024/8/2, 80, 41, , 11, 4, 8
2024/8/3, 80, 37, , 12, 4, 8
2024/8/4, 75, 29, , 5, 3, 7
2024/8/5, 67, 31, , 5, 3, 6
2024/8/6, 76, 36, , 7, 4, 6
2024/8/7, 95, 33, , 7, 3, 6
2024/8/8, 72, 31, , 6, 3, 6
2024/8/9, 70, 31, , 5, 4, 7
2024/8/10, 73, 41, , 5, 4, 8
2024/8/11, 89, 50, , 9, 4, 8
2024/8/12, 113, 45, , 7, 2, 6
2024/8/13, 79, 34, , 9, 3, 5
2024/8/14, 61, 43, , 10, 4, 6
2024/8/15, 86, 44, , 10, 4, 5
2024/8/16, 92, 29, , 9, 4, 5
2024/8/17, 62, 20, , 7, 4, 5
2024/8/18, 50, 20, , 4, 3, 5
2024/8/19, 41, 21, , 5, 4, 5
2024/8/20, 50, 18, , 4, 3, 5
2024/8/21, 44, 27, , 9, 3, 6
2024/8/22, 61, 33, , 9, 4, 7
2024/8/23, 70, 41, , 9, 4, 7
2024/8/24, 85, 28, , 5, 4, 5
2024/8/25, 64, 26, , 6, 4, 5
2024/8/26, 61, 39, , 10, 4, 7
2024/8/27, 81, 33, , 11, 4, 8
2024/8/28, 70, 28, , 10, 4, 7
2024/8/29, 64, 28, , 12, 4, 6
2024/8/30, 61, 35, , 8, 4, 7
2024/8/31, 72, 33, , 7, 3, 6
2024/7/1, 68, 29, , 5, 2, 5
2024/7/2, 63, 41, , 20, 4, 6
2024/7/3, 61, 41, , 10, 3, 5
2024/7/4, 71, 37, , 10, 3, 5
2024/7/5, 65, 25, , 5, 3, 3
2024/7/6, 61, 30, , 5, 3, 4
2024/7/7, 79, 26, , 7, 3, 4
2024/7/8, 64, 30, , 6, 3, 4
2024/7/9, 74, 39, , 13, 3, 4
2024/7/10, 65, 48, , 16, 3, 6
2024/7/11, 87, 50, , 23, 4, 7
2024/7/12, 110, 41, , 17, 3, 6
2024/7/13, 80, 32, , 13, 3, 4
2024/7/14, 57, 24, , 8, 2, 4
2024/7/15, 51, 21, , 4, 3, 4
2024/7/16, 48, 25, , 5, 3, 4
2024/7/17, 55, 33, , 9, 3, 6
2024/7/18, 66, 32, , 10, 3, 5
2024/7/19, 61, 20, , 5, 3, 4
2024/7/20, 46, 29, , 5, 3, 6
2024/7/21, 63, 17, , 3, 3, 5
2024/7/22, 40, 15, , 3, 3, 5
2024/7/23, 29, 21, , 4, 3, 5
2024/7/24, 43, 27, , 2, 3, 5
2024/7/25, 49, 28, , 2, 2, 6
2024/7/26, 48, 20, , 2, 1, 6
2024/7/27, 48, 29, , 2, 2, 6
2024/7/28, 45, 16, , 4, 3, 6
2024/7/29, 38, 15, , 4, 3, 5
2024/7/30, 35, 20, , 4, 2, 6
2024/7/31, 49, 27, , 8, 3, 6
2024/4/1, 107, 24, 42, 7, 3, 6
2024/4/2, 54, 26, 43, 10, 3, 6
2024/4/3, 51, 36, 43, 11, 4, 5
2024/4/4, 57, 43, 64, 12, 5, 5
2024/4/5, 92, 42, 35, 21, 4, 8
2024/4/6, 91, 52, 24, 34, 5, 6
2024/4/7, 94, 29, 42, 19, 3, 5
2024/4/8, 61, 54, 80, 20, 4, 6
2024/4/9, 87, 53, 63, 21, 4, 6
2024/4/10, 88, 46, 40, 13, 4, 5
2024/4/11, 78, 25, 31, 18, 3, 5
2024/4/12, 64, 34, 52, 19, 4, 6
2024/4/13, 64, 21, 45, 20, 5, 7
2024/4/14, 45, 56, 87, 21, 5, 9
2024/4/15, 117, 48, 75, 27, 8, 9
2024/4/16, 97, 22, 32, 17, 5, 7
2024/4/17, 52, 51, 39, 16, 5, 5
2024/4/18, 75, 95, 45, 12, 4, 4
2024/4/19, 100, 61, 66, 12, 4, 6
2024/4/20, 112, 39, 50, 18, 4, 6
2024/4/21, 84, 21, 33, 19, 4, 6
2024/4/22, 48, 27, , 19, 4, 7
2024/4/23, 62, 36, , 19, 4, 6
2024/4/24, 66, 31, , 15, 4, 4
2024/4/25, 42, 40, , 12, 4, 5
2024/4/26, 84, 50, , 22, 4, 6
2024/4/27, 95, 21, , 12, 3, 5
2024/4/28, 44, 37, , 17, 4, 8
2024/4/29, 82, 23, , 17, 4, 6
2024/4/30, 53, 30, , 9, 3, 6
2024/5/1, 67, 38, , 15, 3, 4
2024/5/2, 75, 31, , 10, 4, 3
2024/5/3, 66, 25, , 8, 2, 4
2024/5/4, 68, 35, , 16, 3, 6
2024/5/5, 88, 47, , 15, 3, 8
2024/5/6, 99, 60, , 26, 5, 8
2024/5/7, 118, 54, , 20, 4, 7
2024/5/8, 96, 30, , 15, 3, 5
2024/5/9, 51, 23, , 7, 3, 4
2024/5/10, 54, 29, , 10, 2, 6
2024/5/11, 65, 38, , 12, 3, 6
2024/5/12, 65, 58, , 21, 3, 5
2024/5/13, 75, 42, , 20, 5, 4
2024/5/14, 72, 54, , 12, 4, 5
2024/5/15, 90, 35, , 13, 3, 3
2024/5/16, 50, 26, , 8, 2, 3
