date, pm25, pm10, o3, no2, so2, co
2024/9/1, 110, 55, , 16, 2, 7
2024/9/2, 127, , , , , 
2024/8/1, 51, 23, , 6, 2, 4
2024/8/2, 56, 35, , 5, 2, 5
2024/8/3, 82, 32, , 6, 1, 5
2024/8/4, 78, 39, , 8, 2, 5
2024/8/5, 81, 37, , 5, 3, 5
2024/8/6, 75, 36, , 5, 3, 5
2024/8/7, 85, 46, , 7, 3, 6
2024/8/8, 105, 37, , 6, 3, 6
2024/8/9, 87, 36, , 6, 2, 6
2024/8/10, 87, 34, , 5, 3, 6
2024/8/11, 82, 30, , 4, 2, 6
2024/8/12, 69, 22, , 6, 2, 5
2024/8/13, 58, 28, , 6, 2, 5
2024/8/14, 76, 30, , 6, 1, 5
2024/8/15, 73, 41, , 6, 2, 4
2024/8/16, 96, 45, , 10, 2, 5
2024/8/17, 108, 25, , 4, 2, 4
2024/8/18, 64, 13, , 2, 2, 3
2024/8/19, 30, 15, , 4, 2, 4
2024/8/20, 42, 12, , 6, 2, 6
2024/8/21, 39, 26, , 7, 1, 6
2024/8/22, 57, 41, , 11, 2, 6
2024/8/23, 91, 44, , 11, 2, 6
2024/8/24, 99, 49, , 9, 2, 7
2024/8/25, 108, 42, , 7, 1, 6
2024/8/26, 98, 46, , 9, 2, 6
2024/8/27, 102, 30, , 8, 1, 7
2024/8/28, 79, 24, , 9, 1, 5
2024/8/29, 61, 23, , 7, 3, 5
2024/8/30, 50, 41, , 6, 3, 6
2024/8/31, 81, 50, , 9, 3, 7
2024/7/1, 133, 16, , 4, 1, 5
2024/7/2, 46, 18, , 4, , 4
2024/7/3, 38, 19, , 4, 2, 4
2024/7/4, 47, 21, , 8, 1, 4
2024/7/5, 53, 22, , 3, 2, 4
2024/7/6, 59, 27, , 5, 2, 5
2024/7/7, 66, 23, , 4, 2, 4
2024/7/8, 56, 27, , 5, 1, 4
2024/7/9, 58, 29, , 5, 2, 4
2024/7/10, 68, 44, , 6, 2, 6
2024/7/11, 104, 38, , 6, , 5
2024/7/12, 95, 34, , 14, 1, 6
