date, pm25, pm10, o3, no2, so2, co
2024/9/1, 111, 30, 25, 4, 1, 2
2024/9/2, 66, , , , , 
2024/8/1, 93, 50, 93, 7, 1, 7
2024/8/2, 100, 48, 67, 5, , 4
2024/8/3, 93, 36, 74, 5, 1, 4
2024/8/4, 81, 30, 79, 4, 1, 3
2024/8/5, 61, 43, 77, 7, 2, 4
2024/8/6, 59, 36, 40, 9, , 5
2024/8/7, 64, 36, 69, 7, 1, 5
2024/8/8, 80, 41, 48, 5, 1, 5
2024/8/9, 98, 72, 54, 4, 1, 4
2024/8/10, 107, 25, 46, 5, 1, 2
2024/8/11, 52, 27, 45, 6, 1, 3
2024/8/12, 56, 25, 47, 3, 1, 4
2024/8/13, 56, 35, 71, 3, , 5
2024/8/14, 72, 53, 72, 10, 1, 6
2024/8/15, 101, 48, 49, 10, , 5
2024/8/16, 101, 34, 52, 5, , 4
2024/8/17, 79, 27, 69, 4, 1, 4
2024/8/18, 67, 34, 63, 5, , 4
2024/8/19, 82, 28, 64, 4, , 4
2024/8/20, 57, 29, 85, 6, 1, 4
2024/8/21, 54, 42, 84, 7, 2, 5
2024/8/22, 80, 51, 104, 10, 3, 7
2024/8/23, 90, 42, 80, 7, 1, 6
2024/8/24, 92, 38, 49, 4, , 6
2024/8/25, 93, 18, 39, 2, , 4
2024/8/26, 58, 21, 48, 7, 1, 3
2024/8/27, 59, 30, 62, 9, 1, 3
2024/8/28, 70, 39, 92, 11, 2, 7
2024/8/29, 79, 59, 115, 12, 2, 9
2024/8/30, 117, 61, 66, 7, 1, 7
2024/8/31, 129, 52, 47, 5, 1, 5
2024/7/1, 97, 48, 49, 3, 1, 3
2024/7/2, 114, 60, 69, 6, 3, 6
2024/7/3, 139, 65, 99, 6, , 5
2024/7/4, 150, 74, 40, 8, , 5
2024/7/5, 143, 50, 105, 6, 1, 7
2024/7/6, 110, 64, 92, 9, 1, 8
2024/7/7, 132, 52, 87, 5, 1, 5
2024/7/8, 102, 56, 82, 6, 1, 6
2024/7/9, 121, 67, 106, 7, 3, 6
2024/7/10, 147, 67, 111, 8, 3, 7
2024/7/11, 149, 70, 78, 8, 1, 8
2024/7/12, 153, 48, 68, 4, , 6
2024/7/13, 108, 72, 82, 7, , 7
2024/7/14, 160, 79, 52, 11, 1, 7
2024/7/15, 163, 45, 80, 3, , 5
2024/7/16, 110, 49, 94, 7, 1, 4
2024/7/17, 105, 45, 99, 10, 2, 4
2024/7/18, 79, 53, 107, 7, , 6
2024/7/19, 89, 45, 86, 4, 1, 4
2024/7/20, 73, 53, 85, 6, 3, 7
2024/7/21, 92, 47, 90, 4, 1, 4
2024/7/22, 90, 61, 111, 7, 2, 9
2024/7/23, 113, 61, 62, 6, 1, 10
2024/7/24, 118, 33, 35, 4, , 4
2024/7/25, 69, 36, 60, 6, 1, 4
2024/7/26, 89, 36, 72, 6, 1, 3
2024/7/27, 85, 40, 63, 4, 1, 3
2024/7/28, 77, 41, 47, 7, 4, 4
2024/7/29, 83, 31, 38, 4, 1, 4
2024/7/30, 65, 40, 87, 6, 2, 6
2024/7/31, 81, 47, 98, 5, 1, 7
2024/4/1, 157, 83, 48, 13, 3, 7
2024/4/2, 141, 66, 41, 11, 2, 4
2024/4/3, 127, 52, 47, 8, 3, 3
2024/4/4, 108, 76, 39, 15, 5, 7
2024/4/5, 155, 99, 66, 21, 4, 10
2024/4/6, 171, 91, 65, 16, 4, 7
2024/4/7, 151, 134, 53, 22, 3, 7
2024/4/8, 158, 54, 38, 7, 1, 2
2024/4/9, 101, 76, 46, 17, 5, 5
2024/4/10, 149, 98, 69, 14, 3, 5
2024/4/11, 160, 75, 52, 12, 4, 6
2024/4/12, 139, 73, 58, 11, 1, 4
2024/4/13, 147, 57, 23, 10, , 4
2024/4/14, 134, 100, 41, 15, 1, 4
2024/4/15, 137, 80, 50, 19, 2, 4
2024/4/16, 113, 93, 81, 24, 4, 7
2024/4/17, 143, 98, 104, 18, 3, 8
2024/4/18, 160, 87, 39, 11, 3, 3
2024/4/19, 132, 65, 63, 7, 2, 4
2024/4/20, 94, 76, 82, 15, 3, 5
2024/4/21, 127, 88, 86, 15, 3, 8
2024/4/22, 159, 81, 39, 6, 1, 2
2024/4/23, 106, 72, 59, 14, 2, 3
2024/4/24, 98, 91, 70, 18, 4, 5
2024/4/25, 133, 89, 80, 12, 2, 5
2024/4/26, 143, 81, 59, 11, 1, 5
2024/4/27, 143, 59, 48, 5, 1, 3
2024/4/28, 104, 55, 36, 10, 1, 3
2024/4/29, 98, 51, 45, 11, 1, 4
2024/4/30, 94, 54, 54, 16, 2, 3
2024/5/1, 78, 62, 79, 13, 3, 5
2024/5/2, 108, 65, 86, 11, 3, 4
2024/5/3, 115, 70, 51, 19, 3, 5
2024/5/4, 125, 64, 48, 9, 2, 3
2024/5/5, 135, 57, 61, 10, 1, 4
2024/5/6, 118, 62, 87, 11, 1, 3
2024/5/7, 114, 73, 95, 19, 3, 5
2024/5/8, 121, 81, 79, 14, 3, 5
2024/5/9, 119, 73, 73, 9, 3, 5
2024/5/10, 107, 146, 55, 6, 1, 1
2024/5/11, 129, 60, 58, 9, 2, 2
2024/5/12, 93, 75, 94, 13, 3, 4
2024/5/13, 115, 97, 103, 10, 2, 4
2024/5/14, 141, 48, 50, 4, 1, 1
2024/5/15, 69, 59, 61, 16, 3, 5
2024/5/16, 86, 72, 98, 9, 2, 5
2024/5/17, 119, 77, 117, 12, 1, 6
2024/5/18, 129, 90, 93, 5, 1, 7
2024/5/19, 156, 54, 55, 4, , 4
2024/5/20, 104, 61, 66, 6, 1, 5
2024/5/21, 128, 71, 105, 8, 1, 6
2024/5/22, 134, 82, 105, 9, 4, 6
2024/5/23, 123, 58, 34, 5, , 3
2024/5/24, 100, 50, 23, 8, 1, 5
2024/5/25, 102, 53, 49, 9, 1, 5
2024/5/26, 104, 43, 64, 11, 3, 3
2024/5/27, 70, 56, 100, 11, 2, 5
2024/5/28, 90, 69, 97, 9, 3, 4
2024/5/29, 102, 57, 65, 8, 1, 3
2024/5/30, 91, 45, 58, 6, 1, 2
2024/5/31, 74, 46, 92, 8, 2, 3
2024/6/1, 71, 57, 84, 10, 2, 4
2024/6/2, 93, 47, 101, 8, 1, 4
2024/6/3, 88, 74, 85, 17, 4, 5
2024/6/4, 132, 47, 54, 8, 2, 4
2024/6/5, 96, 67, 104, 11, 2, 5
2024/6/6, 114, 86, 82, 12, 3, 6
2024/6/7, 139, 66, 96, 11, 3, 5
2024/6/8, 121, 69, 95, 8, 3, 4
2024/6/9, 83, 54, 96, 9, 2, 4
2024/6/10, 74, 61, 103, 11, 2, 4
2024/6/11, 97, 66, 122, 11, 3, 5
2024/6/12, 112, 96, 133, 11, 2, 7
