date, pm25, pm10, o3, no2, so2, co
2024/9/1, 95, 51, 29, 7, 4, 11
2024/9/2, 130, , , , , 
2024/8/1, 63, 26, , 6, 2, 7
2024/8/2, 65, 42, , 6, 3, 8
2024/8/3, 96, 42, , 9, 3, 9
2024/8/4, 90, 32, , 6, 3, 7
2024/8/5, 73, 30, , 6, 3, 8
2024/8/6, 71, 45, , 7, 4, 8
2024/8/7, 101, 35, , 8, 3, 7
2024/8/8, 85, 42, , 6, 2, 8
2024/8/9, 93, 46, , 9, 4, 9
2024/8/10, 101, 50, , 10, 2, 9
2024/8/11, 102, 53, , 6, 3, 8
2024/8/12, 87, 35, , 6, 3, 11
2024/8/13, 87, 19, , 2, 1, 6
2024/8/14, 62, 17, , 2, 1, 5
2024/8/15, 55, 24, , 3, 1, 5
2024/8/16, 69, 25, , 3, 2, 5
2024/8/17, 74, 22, , 2, 2, 6
2024/8/18, 68, 19, , 4, 2, 7
2024/8/19, 57, 13, , 4, 1, 6
2024/8/20, 45, 24, , 9, 1, 7
2024/8/21, 72, 37, , 9, 2, 9
2024/8/22, 97, 46, , 11, 2, 9
2024/8/23, 108, 39, , 8, 2, 9
2024/8/24, 92, 24, , 2, 1, 7
2024/8/25, 65, 35, , 4, 2, 8
2024/8/26, 80, 26, , 8, 2, 9
2024/8/27, 66, 24, , 4, 2, 8
2024/8/28, 63, 22, , 3, 2, 6
2024/8/29, 53, 28, , 3, 1, 6
2024/8/30, 68, 32, , 3, 1, 6
2024/8/31, 72, 42, 102, 6, 2, 8
2024/7/1, 68, 25, , 8, 4, 7
2024/7/2, 70, 29, , 11, 4, 8
2024/7/3, 81, 27, , 9, 5, 5
2024/7/4, 67, 30, , 15, 5, 7
2024/7/5, 67, 26, , 7, 3, 6
2024/7/6, 60, 22, , 7, 3, 7
2024/7/7, 57, 29, , 9, 3, 8
2024/7/8, 62, 28, , 8, 3, 6
2024/7/9, 63, 27, , 5, 2, 8
2024/7/10, 85, 31, , 4, 2, 9
2024/7/11, 96, 35, , 6, 3, 10
2024/7/12, 105, 22, , 8, 2, 8
2024/7/13, 69, 23, , 6, 3, 7
2024/7/14, 62, 38, , 11, 4, 10
2024/7/15, 102, 52, , 9, 3, 8
2024/7/16, 116, 38, , 13, 4, 7
2024/7/17, 77, 26, , 8, 4, 5
2024/7/18, 64, 31, , 11, 3, 6
2024/7/19, 66, 25, , 11, 4, 5
2024/7/20, 60, 25, , 7, 4, 4
2024/7/21, 61, 35, , 9, 4, 5
2024/7/22, 75, 42, , 9, 5, 6
2024/7/23, 82, 29, , 7, 4, 5
2024/7/24, 54, 24, , 2, 3, 3
2024/7/25, 40, 22, , 2, 2, 3
2024/7/26, 40, 21, , 4, 3, 7
