date, pm25, pm10, o3, no2, so2, co
2024/9/1, 66, 13, , 6, 4, 4
2024/9/2, 20, , , , , 
2024/8/1, 77, 41, , 5, 2, 6
2024/8/2, 83, 35, , 6, 2, 7
2024/8/3, 82, 22, , 7, 2, 5
2024/8/4, 53, 13, , 6, 2, 4
2024/8/5, 33, 37, , 12, , 5
2024/8/6, 72, 38, , 12, , 6
2024/8/7, 81, 44, , 13, 2, 7
2024/8/8, 93, 35, , 7, 2, 6
2024/8/9, 73, 50, , 4, , 5
2024/8/10, 77, 54, , 8, 2, 5
2024/8/11, 79, 27, , 7, 2, 5
2024/8/12, 45, 24, , 6, 2, 5
2024/8/13, 56, 33, , 7, 3, 7
2024/8/14, 66, 38, , 8, 2, 7
2024/8/15, 72, 43, , 8, 2, 7
2024/8/16, 88, 46, , 8, 2, 9
2024/8/17, 98, 32, , 6, 2, 5
2024/8/18, 70, 22, , 7, 2, 6
2024/8/19, 51, 17, , 5, 2, 5
2024/8/20, 36, 20, , 8, 2, 6
2024/8/21, 55, 30, , 11, 2, 5
2024/8/22, 63, 41, , 16, 2, 7
2024/8/23, 74, 32, , 6, 2, 7
2024/8/24, 68, 36, , 9, 2, 8
2024/8/25, 77, 17, , 4, 2, 7
2024/8/26, 45, 20, , 8, 3, 4
2024/8/27, 51, 41, , 15, 3, 6
2024/8/28, 79, 43, , 10, 3, 6
2024/8/29, 85, 52, , 12, 3, 7
2024/8/30, 99, 36, , 5, 3, 6
2024/8/31, 67, 28, , 5, , 5
2024/7/1, 81, 41, , 8, 3, 7
2024/7/2, 100, 33, , 6, 2, 5
2024/7/3, 87, 57, , 11, , 8
2024/7/4, 129, 72, , 11, , 9
2024/7/5, 148, 28, , 5, 2, 5
2024/7/6, 59, 61, , 11, 2, 10
2024/7/7, 123, 26, , 6, 3, 9
2024/7/8, 57, 52, , 8, 3, 8
2024/7/9, 118, 57, , 10, 4, 6
2024/7/10, 120, 61, , 11, 4, 6
2024/7/11, 129, 58, , 8, 3, 8
2024/7/12, 125, 66, , 7, 3, 13
2024/7/13, 149, 63, , 6, 4, 10
2024/7/14, 133, 42, , 6, 3, 8
2024/7/15, 93, 47, , 8, 3, 9
2024/7/16, 105, 26, , 8, 3, 5
2024/7/17, 58, 27, , 10, 2, 4
2024/7/18, 51, 38, , 9, 2, 5
2024/7/19, 60, 41, , 6, 2, 5
2024/7/20, 57, 36, , 5, 2, 6
2024/7/21, 66, 35, , 5, , 7
2024/7/22, 62, 41, , 5, 2, 6
2024/7/23, 88, 46, , 5, 2, 7
2024/7/24, 90, 20, , 7, 2, 6
2024/7/25, 53, 19, , 5, 2, 5
2024/7/26, 55, 27, , 6, 2, 6
2024/7/27, 51, 23, , 4, 2, 6
2024/7/28, 53, 31, , 5, 2, 5
2024/7/29, 59, 19, , 4, 2, 5
2024/7/30, 37, 23, , 4, 2, 6
2024/7/31, 61, 37, , 9, 2, 6
2024/4/1, 108, 62, , 13, 5, 5
2024/4/2, 104, 56, , 15, 5, 5
2024/4/3, 90, 48, , 14, 3, 2
2024/4/4, 76, 63, , 14, 4, 3
2024/4/5, 126, 76, , 13, 5, 5
2024/4/6, 151, 69, , 15, 4, 4
2024/4/7, 117, 81, , 17, 4, 5
2024/4/8, 90, 48, , 13, 5, 5
2024/4/9, 67, 64, , 20, 4, 4
2024/4/10, 141, 107, , 25, 5, 8
2024/4/11, 180, 54, , 10, 4, 5
2024/4/12, 113, 64, , 10, 4, 6
2024/4/13, 132, 49, , 15, 4, 7
2024/4/14, 96, 113, , 10, 2, 4
2024/4/15, 131, 54, , 10, 2, 2
2024/4/16, 68, 77, , 21, 4, 4
2024/4/17, 110, 96, , 14, 5, 7
2024/4/18, 135, 70, , 12, 4, 5
2024/4/19, 48, 70, , 11, 6, 7
2024/4/20, 114, 72, , 16, 5, 10
2024/4/21, 123, 73, , 13, 5, 8
2024/4/22, 139, 23, , 7, 3, 5
2024/4/23, 57, 50, , 20, 3, 5
2024/4/24, 84, 88, , 12, 3, 4
2024/4/25, 111, 82, , 15, 3, 5
2024/4/26, 118, 76, , 16, 4, 8
2024/4/27, 122, 37, , 8, 3, 3
2024/4/28, 46, 41, , 13, 3, 5
2024/4/29, 72, 33, , 14, 2, 2
2024/4/30, 71, 39, , 11, 3, 2
2024/5/1, 62, 53, , 10, 3, 3
2024/5/2, 92, 59, , 14, 3, 4
2024/5/3, 106, 53, , 14, 5, 6
2024/5/4, 100, 75, , 10, 2, 5
2024/5/5, 121, 62, , 14, 2, 6
2024/5/6, 133, 63, , 19, 3, 5
2024/5/7, 114, 69, , 13, 3, 5
2024/5/8, 116, 67, , 8, 4, 4
2024/5/9, 87, 78, , 7, 3, 5
2024/5/10, 95, 227, , 6, 2, 1
2024/5/11, 133, 44, , 11, 2, 2
2024/5/12, 65, 71, , 13, 4, 5
2024/5/13, 106, 82, , 8, 4, 5
2024/5/14, 99, 29, , 5, 2, 1
2024/5/15, 38, 53, , 9, 4, 4
2024/5/16, 71, 76, , 13, 6, 7
2024/5/17, 102, 80, , 14, 5, 10
2024/5/18, 141, 49, , 9, 4, 9
2024/5/19, 94, 22, , 8, 3, 6
2024/5/20, 52, 32, , 13, 4, 6
2024/5/21, 56, 63, , 15, 3, 6
2024/5/22, 116, 59, , 8, 3, 5
2024/5/23, 98, 28, , 9, 3, 4
2024/5/24, 50, 33, , 14, 3, 8
2024/5/25, 78, 25, , 10, 2, 4
2024/5/26, 74, 32, , 15, 2, 2
2024/5/27, 60, 41, , 13, 4, 3
2024/5/28, 73, 59, , 10, 4, 3
2024/5/29, 76, 59, , 10, 3, 4
2024/5/30, 76, 25, , 6, 2, 3
