date, pm25, pm10, o3, no2, so2, co
2024/9/1, 75, 30, 44, 8, 3, 8
2024/9/2, 76, , , , , 
2024/8/1, 53, 21, , 13, 2, 5
2024/8/2, 53, 36, , 10, 2, 5
2024/8/3, 76, 37, , 9, 2, 5
2024/8/4, 72, 37, , 9, 3, 6
2024/8/5, 72, 34, , 9, 3, 5
2024/8/6, 75, 38, , 8, 3, 6
2024/8/7, 88, 36, , 9, 2, 7
2024/8/8, 75, 41, , 13, 3, 6
2024/8/9, 83, 44, , 13, 3, 7
2024/8/10, 91, 48, , 10, 2, 9
2024/8/11, 89, 35, , 10, 2, 8
2024/8/12, 74, 35, , 19, 2, 9
2024/8/13, 92, 30, , 12, 3, 6
2024/8/14, 73, 24, , 8, 2, 6
2024/8/15, 58, 32, , 8, 2, 5
2024/8/16, 79, 26, , 10, 3, 5
2024/8/17, 67, 25, , 8, 2, 4
2024/8/18, 55, 22, , 9, 2, 5
2024/8/19, 45, 26, , 11, 2, 6
2024/8/20, 57, 21, , 10, 2, 7
2024/8/21, 64, 33, , 10, 2, 6
2024/8/22, 81, 42, , 11, 3, 6
2024/8/23, 91, 32, , 13, 3, 6
2024/8/24, 67, 36, , 9, 3, 6
2024/8/25, 74, 30, , 10, 3, 5
2024/8/26, 66, 33, , 9, 3, 7
2024/8/27, 69, 33, , 10, 3, 8
2024/8/28, 74, 24, , 5, 2, 6
2024/8/29, 53, 30, , 9, 3, 7
2024/8/30, 63, 40, , 13, 3, 7
2024/8/31, 83, 35, 85, 11, 3, 6
2024/7/1, 51, 26, , 9, 1, 7
2024/7/2, 58, 21, , 9, 2, 7
2024/7/3, 40, 28, , 12, 1, 6
2024/7/4, 61, 32, , 23, 3, 6
2024/7/5, 67, 33, , 9, 1, 4
2024/7/6, 59, 21, , 9, 1, 3
2024/7/7, 43, 25, , 6, 1, 4
2024/7/8, 52, 32, , 7, 1, 4
2024/7/9, 56, 23, , 12, 1, 5
2024/7/10, 55, 19, , 11, , 7
2024/7/11, 69, 22, , 13, 1, 7
2024/7/12, 63, 19, , 12, 1, 5
2024/7/13, 45, 18, , 10, 2, 6
2024/7/14, 43, 44, , 16, 1, 12
2024/7/15, 102, 41, , 14, 1, 8
2024/7/16, 89, 32, , 9, 2, 8
2024/7/17, 57, 25, , 8, 2, 6
2024/7/18, 41, 29, , 9, 1, 4
2024/7/19, 51, 30, , 8, 1, 5
2024/7/20, 58, 35, , 6, 1, 5
2024/7/21, 73, 32, , 4, 2, 4
2024/7/22, 63, 26, , 5, 1, 3
2024/7/23, 50, 22, , 5, 2, 3
2024/7/24, 29, 24, , 5, 1, 1
2024/7/25, 34, 21, , 5, 1, 3
2024/7/26, 36, 18, , 5, 1, 4
2024/7/27, 38, 19, , 5, 2, 4
2024/7/28, 37, 20, , 4, 2, 3
2024/7/29, 39, 22, , 7, 2, 3
2024/7/30, 47, 23, , 6, 1, 3
2024/7/31, 51, 24, , 6, 2, 4
2024/4/1, 123, 28, , 18, 2, 6
2024/4/2, 78, 24, , 17, 1, 8
2024/4/3, 71, 58, , 15, 5, 9
2024/4/4, 106, 48, , 12, 5, 9
2024/4/5, 86, 46, , 15, 2, 8
2024/4/6, 101, 38, , 19, 2, 8
2024/4/7, 92, 27, , 20, 2, 10
2024/4/8, 68, 61, , 24, 4, 11
2024/4/9, 118, 55, , 23, 3, 7
2024/4/10, 81, 53, , 18, 3, 5
2024/4/11, 89, 33, , 24, 2, 7
2024/4/12, 80, 33, , 17, 1, 7
2024/4/13, 84, 30, , 19, 1, 8
2024/4/14, 85, 52, , 22, 2, 9
2024/4/15, 122, 59, , 22, 3, 11
2024/4/16, 131, 30, , 19, 2, 10
2024/4/17, 76, 79, , 26, 3, 11
2024/4/18, 116, 82, , 19, 2, 7
2024/4/19, 101, 35, , 10, 2, 9
2024/4/20, 80, 40, , 14, 2, 10
2024/4/21, 98, 45, , 14, 3, 9
2024/4/22, 102, 33, , 14, 2, 10
2024/4/23, 90, 61, , 19, 3, 9
2024/4/24, 92, 48, , 22, 4, 9
2024/4/25, 72, 43, , 16, 3, 6
2024/4/26, 81, 32, , 10, 2, 6
2024/4/27, 83, 30, , 15, 2, 6
2024/4/28, 77, 30, , 12, 2, 8
2024/4/29, 85, 38, , 15, 3, 9
2024/4/30, 93, 36, , 12, 4, 8
2024/5/1, 86, 44, , 13, 4, 9
2024/5/2, 84, 38, , 10, 3, 8
2024/5/3, 73, 38, , 12, 3, 8
2024/5/4, 87, 21, , 12, 1, 10
2024/5/5, 77, 36, , 17, 3, 11
2024/5/6, 94, 57, , 16, 2, 11
2024/5/7, 130, 43, , 15, 2, 7
2024/5/8, 92, 31, , 14, 2, 5
2024/5/9, 64, 43, , 15, 2, 6
2024/5/10, 87, 36, , 15, 1, 8
2024/5/11, 101, 74, , 13, 2, 8
2024/5/12, 101, 76, , 25, 3, 8
2024/5/13, 108, 56, , 18, 3, 6
2024/5/14, 80, 53, , 15, 2, 5
2024/5/15, 71, 33, , 15, 2, 4
2024/5/16, 48, 45, , 16, 2, 5
2024/5/17, 77, 44, , 13, 2, 6
2024/5/18, 71, 33, , 8, 1, 4
2024/5/19, 56, 37, , 10, 1, 5
2024/5/20, 63, 28, , 9, 1, 5
2024/5/21, 61, 37, , 13, 3, 5
2024/5/22, 77, 39, , 11, 1, 5
2024/5/23, 79, 36, , 9, 1, 4
2024/5/24, 73, 29, , 7, 1, 5
2024/5/25, 63, 37, , 8, 1, 6
2024/5/26, 74, 25, , 6, 1, 8
2024/5/27, 51, 30, , 11, 2, 7
2024/5/28, 57, 33, , 15, 3, 8
2024/5/29, 58, 31, , 13, 1, 5
