date, pm25, pm10, o3, no2, so2, co
2024/9/1, 86, 34, 43, 4, 1, 7
2024/9/2, 95, , , , , 
2024/8/1, 72, 18, , 5, 2, 4
2024/8/2, 52, 28, , 5, , 6
2024/8/3, 70, 37, , 5, 2, 6
2024/8/4, 93, 33, , 6, 2, 6
2024/8/5, 76, 24, , 5, 2, 4
2024/8/6, 65, 33, , 5, 3, 4
2024/8/7, 96, 28, , 5, 2, 4
2024/8/8, 70, 25, , 5, 2, 5
2024/8/9, 64, 41, , 6, 3, 6
2024/8/10, 95, 84, , 6, 3, 6
2024/8/11, 131, 58, , 4, 2, 5
2024/8/12, 94, 36, , 5, 2, 6
2024/8/13, 69, 20, , 4, 2, 4
2024/8/14, 56, 19, , 4, 2, 4
2024/8/15, 56, 20, , 4, 2, 3
2024/8/16, 67, 27, , 6, 2, 4
2024/8/17, 63, 20, , 4, 2, 4
2024/8/18, 48, 13, , 5, 2, 3
2024/8/19, 45, 19, , 5, 2, 4
2024/8/20, 51, 18, , 4, 3, 5
2024/8/21, 46, 36, , 5, 2, 6
2024/8/22, 88, 36, , 6, 2, 7
2024/8/23, 83, 37, , 6, 3, 8
2024/8/24, 79, 20, , 3, 2, 5
2024/8/25, 52, 20, , 3, 3, 5
2024/8/26, 48, 17, , 5, 2, 6
2024/8/27, 50, 20, , 3, 4, 5
2024/8/28, 53, 17, , 3, 2, 5
2024/8/29, 47, 22, , 6, 2, 5
2024/8/30, 55, 23, , 5, 3, 6
2024/8/31, 57, 37, 92, 6, 3, 7
2024/7/1, 80, 27, , 5, 3, 6
2024/7/2, 83, 33, , 4, 3, 7
2024/7/3, 95, 27, , 4, 3, 5
2024/7/4, 70, 16, , 4, 2, 3
2024/7/5, 46, 26, , 4, 3, 4
2024/7/6, 62, 25, , 6, 3, 5
2024/7/7, 62, 28, , 6, 2, 5
2024/7/8, 66, 26, , 4, 2, 5
2024/7/9, 77, 40, , 4, 2, 6
2024/7/10, 125, 50, , 4, 2, 6
2024/7/11, 144, 38, , 4, 3, 4
2024/7/12, 103, 12, , 2, 2, 4
2024/7/13, 33, 13, , 3, 3, 1
2024/7/14, 34, 13, , 4, 3, 5
2024/7/15, 40, 47, , 6, 3, 8
2024/7/16, 128, 47, , 7, 3, 6
2024/7/17, 109, 20, , 4, 3, 4
2024/7/18, 52, 29, , 7, 3, 4
2024/7/19, 52, 34, , 5, 3, 4
2024/7/20, 78, 24, , 3, 3, 3
2024/7/21, 55, 37, , 6, 3, 4
2024/7/22, 91, 43, , 6, 3, 5
2024/7/23, 96, 28, , 5, 3, 4
2024/7/24, 58, 22, , 2, 2, 2
2024/7/25, 47, 24, , 1, 3, 3
2024/7/26, 53, 29, , 2, 3, 2
2024/7/27, 54, 23, , 3, 3, 3
2024/7/28, 47, 29, , 6, 3, 4
2024/7/29, 66, 33, , 6, 3, 5
2024/7/30, 75, 34, , 7, 2, 5
2024/7/31, 77, 28, , 5, 2, 4
2024/4/1, 121, 35, , 8, 3, 5
2024/4/2, 100, 32, , 8, 3, 5
2024/4/3, 78, 50, , 10, 3, 4
2024/4/4, 83, 50, , 11, 2, 5
2024/4/5, 91, 49, , 8, 2, 5
2024/4/6, 100, 46, , 9, 2, 5
2024/4/7, 96, 60, , 13, 2, 7
2024/4/8, 131, 61, , 12, 3, 5
2024/4/9, 116, 58, , 8, 2, 6
2024/4/10, 121, 57, , 7, 2, 6
2024/4/11, 95, 32, , 7, 2, 5
2024/4/12, 81, 18, , 5, 1, 4
2024/4/13, 54, 26, , 7, 3, 6
2024/4/14, 82, 35, , 7, 3, 7
2024/4/15, 107, 101, , 9, 3, 6
2024/4/16, 139, 107, , 9, 3, 5
2024/4/17, 108, 79, , 12, 3, 5
2024/4/18, 99, 87, , 9, 3, 5
2024/4/19, 110, 20, , 6, 2, 4
2024/4/20, 64, 28, , 6, 3, 5
2024/4/21, 68, 31, , 8, 3, 6
2024/4/22, 80, 34, , 7, 3, 6
2024/4/23, 96, 58, , 9, 3, 6
2024/4/24, 88, 56, , 10, 4, 6
2024/4/25, 91, 35, , 8, 3, 4
2024/4/26, 66, 14, , 5, 2, 4
2024/4/27, 42, 15, , 5, 2, 4
2024/4/28, 54, 35, , 7, 3, 4
2024/4/29, 83, 49, , 8, 3, 4
2024/4/30, 97, 40, , 12, 3, 4
2024/5/1, 73, 37, , 11, 2, 4
2024/5/2, 78, 29, , 6, 2, 4
2024/5/3, 68, 31, , 6, 3, 5
2024/5/4, 77, 19, , 6, 2, 5
2024/5/5, 70, 52, , 7, 3, 7
2024/5/6, 145, 55, , 9, 3, 7
2024/5/7, 132, 45, , 9, 4, 5
2024/5/8, 99, 41, , 8, 4, 6
2024/5/9, 89, 48, , 10, 4, 7
2024/5/10, 91, 70, , 9, 3, 6
2024/5/11, 128, 116, , 9, 4, 6
2024/5/12, 120, 94, , 9, 3, 6
2024/5/13, 116, 75, , 10, 4, 7
2024/5/14, 138, 53, , 8, 3, 6
2024/5/15, 92, 44, , 10, 6, 5
2024/5/16, 77, 51, , 12, 4, 6
2024/5/17, 106, 50, , 9, 3, 7
2024/5/18, 108, 28, , 3, 3, 5
2024/5/19, 59, 24, , 3, 3, 5
2024/5/20, 61, 19, , 3, 3, 5
2024/5/21, 53, 30, , 3, 3, 6
2024/5/22, 74, 33, , 3, 3, 4
2024/5/23, 76, 31, , 4, 3, 5
2024/5/24, 73, 26, , 2, 3, 3
2024/5/25, 65, 41, , 5, 3, 6
2024/5/26, 108, 27, , 5, 2, 6
2024/5/27, 54, 37, , 7, 3, 4
2024/5/28, 78, 28, , 7, 3, 3
2024/5/29, 61, 26, , 5, 3, 4
2024/5/30, 68, 37, , 5, 3, 4
2024/5/31, 86, 29, , 4, 3, 3
2024/6/1, 58, 38, , 7, 4, 5
2024/6/2, 75, 54, , 7, 4, 5
2024/6/3, 97, 32, , 5, 2, 3
2024/6/4, 65, 28, , 4, 2, 4
2024/6/5, 60, 27, , 4, 2, 3
2024/6/6, 56, 31, , 5, 3, 4
2024/6/7, 69, 49, , 7, 3, 5
2024/6/8, 98, 60, , 7, 5, 7
2024/6/9, 100, 58, , 7, 5, 5
