date, pm25, pm10, o3, no2, so2, co
2024/9/1, 96, 55, 43, 9, 4, 6
2024/9/2, 160, , , , , 
2024/8/1, 59, 29, , 8, 2, 3
2024/8/2, 58, 35, , 12, 3, 4
2024/8/3, 81, 33, , 6, 3, 4
2024/8/4, 76, 32, , 7, 3, 5
2024/8/5, 77, 44, , 15, 3, 5
2024/8/6, 92, 47, , 9, 3, 4
2024/8/7, 113, 35, , 7, 3, 4
2024/8/8, 90, 45, , 9, 4, 6
2024/8/9, 94, 40, , 5, 3, 5
2024/8/10, 99, 42, , 7, 3, 4
2024/8/11, 90, 54, , 6, 3, 4
2024/8/12, 86, 48, , 12, 3, 6
2024/8/13, 93, 30, , 11, 2, 5
2024/8/14, 78, 21, , 6, 2, 3
2024/8/15, 58, 35, , 7, 2, 4
2024/8/16, 84, 32, , 10, 2, 5
2024/8/17, 114, 35, , 10, 3, 5
2024/8/18, 80, 25, , 12, 3, 4
2024/8/19, 70, 14, , 7, 1, 3
2024/8/20, 39, 28, , 8, 2, 4
2024/8/21, 83, 32, , 5, 2, 5
2024/8/22, 90, 41, , 8, 2, 5
2024/8/23, 96, 45, , 11, 3, 5
2024/8/24, 100, 36, , 11, 4, 7
2024/8/25, 89, 39, , 8, 3, 5
2024/8/26, 92, 29, , 6, 3, 5
2024/8/27, 82, 24, , 5, 3, 4
2024/8/28, 61, 21, , 4, 2, 3
2024/8/29, 58, 34, , 10, 3, 4
2024/8/30, 76, 49, , 12, 3, 6
2024/8/31, 106, 43, 103, 9, 3, 5
2024/7/1, 53, 23, , 6, 1, 6
2024/7/2, 68, 20, , 5, 1, 6
2024/7/3, 57, 25, , 8, 2, 5
2024/7/4, 64, 34, , 17, 3, 6
2024/7/5, 73, 22, , 4, 1, 4
2024/7/6, 52, 24, , 5, 1, 5
2024/7/7, 57, 23, , 4, 1, 4
2024/7/8, 56, 25, , 5, 1, 3
2024/7/9, 63, 23, , 7, 1, 5
2024/7/10, 64, 33, , 8, 1, 5
2024/7/11, 112, 23, , 10, 2, 7
2024/7/12, 83, 11, , 4, 1, 3
2024/7/13, 39, 21, , 7, 2, 5
2024/7/14, 58, 30, , 14, 3, 5
2024/7/15, 84, 40, , 8, 3, 6
2024/7/16, 117, 31, , 9, 2, 4
2024/7/17, 74, 28, , 7, 2, 3
2024/7/18, 57, 26, , 6, 2, 3
2024/7/19, 58, 25, , 6, 3, 3
2024/7/20, 58, 23, , 4, 3, 3
2024/7/21, 56, 32, , 5, 2, 4
2024/7/22, 79, 37, , 6, 2, 4
2024/7/23, 79, 32, , 8, 3, 2
2024/7/24, 58, 36, , 10, 3, 4
2024/7/25, 56, 31, , 8, 3, 4
2024/7/26, 57, 23, , 4, 3, 2
2024/7/27, 41, 22, , 3, 2, 2
2024/7/28, 49, 26, , 5, 3, 2
2024/7/29, 60, 30, , 6, 2, 2
2024/7/30, 64, 30, , 4, 2, 3
2024/7/31, 69, 23, , 4, 2, 3
2024/4/1, 137, 34, , 18, 3, 6
2024/4/2, 130, 14, , 6, 1, 2
2024/4/3, 77, 45, , 8, 4, 2
2024/4/4, 89, 48, , 10, 7, 3
2024/4/5, 88, 57, , 15, 6, 5
2024/4/6, 144, 54, , 21, 3, 7
2024/4/7, 138, 33, , 13, 2, 5
2024/4/8, 105, 58, , 22, 3, 4
2024/4/9, 127, 63, , 19, 3, 4
2024/4/10, 94, 63, , 18, 3, 5
2024/4/11, 147, 45, , 21, 2, 6
2024/4/12, 140, 32, , 17, 2, 5
2024/4/13, 136, 31, , 11, 1, 4
2024/4/14, 128, 38, , 10, 1, 4
2024/4/15, 105, 51, , 13, 3, 6
2024/4/16, 143, 54, , 16, 4, 4
2024/4/17, 109, 74, , 19, 3, 4
2024/4/18, 92, 72, , 20, 3, 4
2024/4/19, 106, 37, , 7, 3, 3
2024/4/20, 86, 31, , 8, 5, 2
2024/4/21, 85, 38, , 14, 5, 5
2024/4/22, 95, 49, , 11, 2, 6
2024/4/23, 133, 68, , 9, 2, 2
2024/4/24, 68, 62, , 20, 3, 4
2024/4/25, 105, 54, , 18, 5, 4
2024/4/26, 103, 42, , 12, 3, 5
2024/4/27, 119, 26, , 12, 4, 4
2024/4/28, 88, 25, , 7, 2, 1
2024/4/29, 64, 42, , 8, 2, 3
2024/4/30, 109, 31, , 10, 2, 3
2024/5/1, 80, 41, , 13, 4, 3
2024/5/2, 84, 44, , 13, 5, 5
2024/5/3, 93, 42, , 12, 4, 5
2024/5/4, 114, 14, , 12, 1, 5
2024/5/5, 121, 33, , 8, 2, 6
2024/5/6, 120, 49, , 13, 4, 5
2024/5/7, 125, 39, , 12, 3, 3
2024/5/8, 80, 43, , 14, 4, 4
2024/5/9, 86, 48, , 11, 3, 4
2024/5/10, 98, 46, , 10, 2, 4
2024/5/11, 117, 94, , 10, 3, 2
2024/5/12, 92, 80, , 13, 3, 3
2024/5/13, 94, 68, , 11, 4, 4
2024/5/14, 110, 51, , 9, 3, 3
2024/5/15, 75, 37, , 11, 3, 3
2024/5/16, 62, 51, , 10, 3, 4
2024/5/17, 94, 57, , 12, 4, 11
2024/5/18, 106, 45, , 14, 3, 3
2024/5/19, 81, 47, , 13, 3, 6
2024/5/20, 109, 38, , 12, 2, 7
2024/5/21, 107, 48, , 16, 4, 7
2024/5/22, 96, 52, , 16, 2, 4
2024/5/23, 118, 47, , 17, 3, 5
2024/5/24, 123, 49, , 12, 2, 6
