date, pm25, pm10, o3, no2, so2, co
2024/9/1, 73, 17, 17, 18, 3, 3
2024/9/2, 43, , , , , 
2024/8/1, 39, 34, 47, 10, 3, 2
2024/8/2, 62, 29, 56, 15, 3, 3
2024/8/3, 68, 34, 70, 15, 4, 4
2024/8/4, 73, 36, 57, 15, 4, 3
2024/8/5, 77, 22, 47, 18, 4, 2
2024/8/6, 46, 27, 40, 20, 4, 3
2024/8/7, 55, 23, 29, 14, 3, 2
2024/8/8, 55, 33, 65, 21, 5, 3
2024/8/9, 72, 39, 58, 20, 5, 4
2024/8/10, 85, 32, 38, 12, 4, 3
2024/8/11, 70, 29, 50, 20, 4, 3
2024/8/12, 64, 31, 57, 19, 4, 3
2024/8/13, 63, 31, 82, 16, 3, 3
2024/8/14, 67, 29, 78, 16, 3, 3
2024/8/15, 62, 26, 61, 17, 3, 3
2024/8/16, 58, 30, 66, 14, 3, 3
2024/8/17, 68, 26, 49, 9, 3, 3
2024/8/18, 60, 39, 69, 18, 3, 4
2024/8/19, 83, 33, 45, 17, 3, 3
2024/8/20, 79, 15, 16, 7, 3, 3
2024/8/21, 27, 17, 32, 6, 2, 1
2024/8/22, 27, 27, 61, 11, 3, 3
2024/8/23, 58, 43, 68, 13, 3, 4
2024/8/24, 87, 40, 66, 14, 4, 3
2024/8/25, 83, 42, 50, 22, 3, 4
2024/8/26, 93, 28, 28, 18, 3, 3
2024/8/27, 55, 17, 52, 15, 4, 3
2024/8/28, 40, 15, 46, 12, 2, 2
2024/8/29, 27, 17, 43, 13, 3, 2
2024/8/30, 31, 37, 83, 15, 3, 4
2024/8/31, 69, 39, 66, 11, 4, 4
2024/7/1, 62, 33, 29, 21, 4, 3
2024/7/2, 65, 34, 53, 14, 4, 4
2024/7/3, 62, 44, 71, 11, 5, 4
2024/7/4, 100, 28, 54, 6, 4, 3
2024/7/5, 40, 40, 40, 13, 7, 4
2024/7/6, 71, 30, 46, 9, 4, 4
2024/7/7, 53, 22, 28, 16, 4, 3
2024/7/8, 34, 25, 22, 13, 4, 2
2024/7/9, 38, 25, 53, 15, 3, 2
2024/7/10, 33, 46, 49, 16, 6, 4
2024/7/11, 95, 48, 72, 22, 7, 4
2024/7/12, 99, 55, 81, 22, 6, 6
2024/7/13, 124, 43, 43, 10, 4, 4
2024/7/14, 82, 24, 51, 12, 3, 3
2024/7/15, 30, 23, 31, 17, 5, 3
2024/7/16, 47, 18, 16, 6, 8, 2
2024/7/17, 24, 27, 25, 13, 8, 2
2024/7/18, 33, 31, 43, 19, 8, 3
2024/7/19, 56, 22, 33, 16, 7, 2
2024/7/20, 37, 26, 46, 15, 9, 2
2024/7/21, 52, 20, 23, 12, 12, 2
2024/7/22, 30, 15, 14, 9, 5, 1
2024/7/23, 28, 22, 22, 12, 4, 2
2024/7/24, 35, 24, 26, 11, 3, 2
2024/7/25, 43, 26, 29, 11, 4, 2
2024/7/26, 53, 21, 19, 8, 3, 2
2024/7/27, 42, 28, 13, 4, 4, 1
2024/7/28, 29, 25, 21, 8, 7, 1
2024/7/29, 33, 28, 37, 11, 3, 1
2024/7/30, 46, 21, 22, 8, 3, 1
2024/7/31, 38, 23, 32, 8, 3, 2
2024/4/1, 65, 59, 59, 39, 8, 4
2024/4/2, 90, 41, 31, 32, 6, 4
2024/4/3, 84, 48, 40, 22, 8, 5
2024/4/4, 95, 44, 53, 17, 4, 4
2024/4/5, 73, 63, 75, 34, 8, 5
2024/4/6, 134, 61, 88, 33, 5, 5
2024/4/7, 118, 59, 36, 50, 10, 6
2024/4/8, 107, 56, 56, 31, 6, 4
2024/4/9, 108, 51, 49, 16, 4, 4
2024/4/10, 79, 55, 64, 34, 5, 4
2024/4/11, 87, 56, 64, 35, 6, 4
2024/4/12, 106, 55, 47, 32, 10, 4
2024/4/13, 103, 51, 79, 30, 8, 4
2024/4/14, 83, 31, 41, 19, 5, 4
2024/4/15, 53, 50, 43, 14, 4, 4
2024/4/16, 78, 77, 38, 20, 5, 4
2024/4/17, 78, 95, 52, 33, 7, 5
2024/4/18, 105, 77, 98, 35, 8, 4
2024/4/19, 101, 64, 43, 27, 5, 4
2024/4/20, 102, 18, 41, 8, 2, 3
2024/4/21, 21, 41, 59, 18, 4, 3
2024/4/22, 66, 33, 59, 15, 4, 2
2024/4/23, 63, 26, 44, 16, 4, 3
2024/4/24, 51, 42, 65, 20, 5, 5
2024/4/25, 88, 68, 106, 40, 10, 6
2024/4/26, 138, 56, 67, 31, 11, 5
2024/4/27, 101, 46, 96, 26, 6, 4
2024/4/28, 73, 52, 54, 29, 8, 4
2024/4/29, 87, 60, 46, 25, 7, 5
2024/4/30, 118, 38, 50, 17, 3, 3
2024/5/1, 67, 40, 56, 20, 6, 3
2024/5/2, 72, 53, 68, 28, 9, 3
2024/5/3, 87, 64, 105, 33, 7, 5
2024/5/4, 116, 34, 34, 11, 3, 3
2024/5/5, 58, 19, 47, 10, 3, 3
2024/5/6, 36, 30, 40, 14, 3, 3
2024/5/7, 49, 25, 42, 21, 3, 3
2024/5/8, 45, 30, 74, 21, 4, 3
2024/5/9, 57, 35, 65, 15, 8, 3
2024/5/10, 61, 28, 42, 15, 5, 3
2024/5/11, 40, 68, 46, 13, 4, 2
2024/5/12, 61, 41, 62, 33, 6, 3
2024/5/13, 67, 45, 76, 29, 6, 4
2024/5/14, 72, 36, 45, 23, 5, 2
2024/5/15, 50, 24, 64, 20, 4, 3
2024/5/16, 26, 46, 76, 19, 8, 4
2024/5/17, 84, 38, 50, 22, 4, 3
2024/5/18, 68, 36, 68, 17, 6, 3
