date, pm25, pm10, o3, no2, so2, co
2024/9/1, 66, 13, 31, 13, 4, 4
2024/9/2, 30, , , , , 
2024/8/1, 29, 26, 52, 13, 3, 5
2024/8/2, 51, 28, 60, 15, 3, 5
2024/8/3, 65, 26, 79, 13, 3, 6
2024/8/4, 60, 30, 69, 20, 4, 6
2024/8/5, 68, 19, 49, 19, 3, 5
2024/8/6, 35, 20, 44, 16, 3, 4
2024/8/7, 45, 21, 41, 19, 4, 5
2024/8/8, 46, 29, 78, 20, 4, 5
2024/8/9, 66, 32, 84, 20, 4, 5
2024/8/10, 72, 25, 52, 12, 4, 5
2024/8/11, 63, 23, 62, 17, 4, 5
2024/8/12, 52, 25, 54, 17, 4, 4
2024/8/13, 49, 33, 120, 23, 4, 5
2024/8/14, 60, 23, 98, 10, 3, 5
2024/8/15, 46, 25, 82, 18, 3, 5
2024/8/16, 44, 30, 90, 23, 2, 6
2024/8/17, 71, 22, 75, 11, 1, 5
2024/8/18, 57, 31, 99, 22, 2, 6
2024/8/19, 73, 29, 62, 26, 2, 5
2024/8/20, 66, 12, 34, 11, 1, 4
2024/8/21, 20, 16, 38, 11, 3, 4
2024/8/22, 21, 26, 79, 19, 3, 5
2024/8/23, 58, 39, 88, 19, 3, 6
2024/8/24, 76, 35, 91, 16, 3, 7
2024/8/25, 78, 38, 52, 20, 3, 7
2024/8/26, 79, 29, 41, 25, 4, 5
2024/8/27, 59, 21, 63, 26, 4, 4
2024/8/28, 36, 17, 55, 17, 4, 4
2024/8/29, 22, 21, 42, 20, 4, 4
2024/8/30, 28, 39, 73, 13, 4, 5
2024/8/31, 68, 32, 67, 13, 4, 6
2024/7/1, 63, 19, 29, 23, 2, 4
2024/7/2, 44, 28, 51, 12, 2, 5
2024/7/3, 53, 40, 74, 16, 3, 5
2024/7/4, 91, 19, 48, 6, 3, 4
2024/7/5, 40, 32, 118, 15, 3, 5
2024/7/6, 61, 20, 47, 11, 3, 5
2024/7/7, 48, 12, 30, 21, 3, 4
2024/7/8, 28, 18, 26, 18, 3, 4
2024/7/9, 42, 14, 46, 16, 3, 7
2024/7/10, 28, 36, 61, 21, 3, 5
2024/7/11, 82, 47, 68, 23, 3, 5
2024/7/12, 102, 49, 90, 24, 3, 7
2024/7/13, 114, 28, 45, 10, 3, 4
2024/7/14, 69, 14, 49, 15, 3, 4
2024/7/15, 31, 17, 34, 19, 3, 4
2024/7/16, 36, 13, 21, 11, 2, 4
2024/7/17, 22, 11, 27, 17, 2, 4
2024/7/18, 22, 24, 55, 17, 3, 5
