date, pm25, pm10, o3, no2, so2, co
2024/9/1, 51, 29, 72, 22, 6, 5
2024/9/2, 68, , , , , 
2024/8/1, 43, 27, 44, 24, 5, 4
2024/8/2, 53, 38, 84, 33, 4, 5
2024/8/3, 80, 28, 84, 27, 5, 5
2024/8/4, 75, 28, 62, 21, 9, 4
2024/8/5, 67, 27, 50, 20, 4, 4
2024/8/6, 50, 29, 65, 22, 4, 4
2024/8/7, 68, 37, 98, 29, 4, 6
2024/8/8, 80, 31, 70, 23, 5, 4
2024/8/9, 58, 21, 52, 14, 5, 4
2024/8/10, 52, 8, 45, 6, 3, 2
2024/8/11, 29, 12, 40, 8, 3, 2
2024/8/12, 25, 16, 28, 12, 4, 3
2024/8/13, 34, 12, 32, 8, 4, 2
2024/8/14, 29, 6, 22, 6, 3, 2
2024/8/15, 18, 12, 30, 9, 3, 3
2024/8/16, 27, 22, 33, 11, 4, 3
2024/8/17, 43, 17, 31, 9, 4, 4
2024/8/18, 38, 26, 37, 17, 4, 4
2024/8/19, 56, 24, 28, 13, 4, 4
2024/8/20, 41, 22, 26, 11, 4, 3
2024/8/21, 37, 19, 29, 10, 4, 2
2024/8/22, 31, 31, 80, 25, 4, 5
2024/8/23, 58, 43, 76, 29, 3, 5
2024/8/24, 87, 48, 98, 30, 6, 6
2024/8/25, 112, 40, 57, 26, 5, 4
2024/8/26, 96, 23, 40, 16, 5, 4
2024/8/27, 55, 21, 41, 16, 5, 4
2024/8/28, 42, 24, 33, 9, 4, 3
2024/8/29, 34, 20, 31, 16, 4, 4
2024/8/30, 35, 25, 59, 21, 5, 4
2024/8/31, 56, 23, 55, 19, 5, 4
2024/7/1, 59, 19, 23, 34, 4, 4
2024/7/2, 50, 24, 35, 17, 3, 3
2024/7/3, 49, 27, 68, 28, 4, 4
2024/7/4, 61, 13, 19, 16, 4, 3
2024/7/5, 36, 22, 29, 22, 4, 3
2024/7/6, 56, 24, 23, 17, 4, 3
2024/7/7, 54, 25, 22, 23, 4, 3
2024/7/8, 50, 28, 33, 26, 4, 4
2024/7/9, 62, 21, 33, 24, 4, 3
2024/7/10, 34, 28, 30, 39, 4, 4
2024/7/11, 68, 37, 61, 38, 4, 5
2024/7/12, 85, 29, 38, 34, 4, 4
2024/7/13, 69, 16, 41, 23, 4, 4
2024/7/14, 43, 19, 37, 22, 6, 4
2024/7/15, 49, 16, 32, 34, 4, 4
2024/7/16, 38, 19, 17, 20, 4, 4
2024/7/17, 46, 22, 36, 16, 4, 3
2024/7/18, 49, 24, 35, 25, 4, 4
2024/7/19, 56, 23, 39, 22, 5, 4
2024/7/20, 46, 16, 35, 17, 5, 3
2024/7/21, 36, 21, 33, 16, 4, 3
2024/7/22, 40, 16, 31, 13, 4, 3
2024/7/23, 31, 14, 22, 16, 3, 3
2024/7/24, 32, 29, 40, 26, 5, 4
2024/7/25, 53, 27, 28, 19, 4, 4
2024/7/26, 58, 24, 33, 13, 4, 3
2024/7/27, 45, 19, 27, 10, 4, 3
2024/7/28, 34, 24, 44, 16, 4, 3
2024/7/29, 43, 23, 38, 19, 4, 4
2024/7/30, 45, 24, 50, 20, 4, 4
2024/7/31, 59, 21, 39, 19, 4, 3
2024/4/1, 87, 56, 44, 55, 6, 6
2024/4/2, 93, 16, 44, 34, 3, 4
2024/4/3, 51, 42, 54, 24, 5, 4
2024/4/4, 74, 45, 59, 27, 5, 3
2024/4/5, 68, 45, 53, 45, 4, 5
2024/4/6, 84, 54, 95, 40, 6, 6
2024/4/7, 108, 60, 77, 59, 6, 6
2024/4/8, 108, 45, 59, 20, 4, 3
2024/4/9, 71, 30, 44, 21, 4, 3
2024/4/10, 52, 39, 38, 32, 4, 4
2024/4/11, 64, 40, 45, 35, 5, 5
2024/4/12, 83, 36, 52, 39, 5, 5
2024/4/13, 72, 34, 64, 40, 4, 5
2024/4/14, 67, 29, 48, 42, 4, 5
2024/4/15, 57, 46, 49, 28, 4, 5
2024/4/16, 81, 159, 51, 30, 5, 4
2024/4/17, 130, 214, 49, 27, 7, 4
2024/4/18, 168, 201, 66, 48, 5, 5
2024/4/19, 163, 79, 59, 38, 4, 4
2024/4/20, 111, 15, 49, 16, 3, 4
2024/4/21, 39, 32, 46, 18, 4, 4
2024/4/22, 66, 28, 50, 11, 4, 3
2024/4/23, 52, 24, 42, 21, 3, 4
2024/4/24, 52, 39, 59, 27, 4, 5
2024/4/25, 71, 46, 43, 45, 4, 6
2024/4/26, 85, 52, 98, 55, 6, 6
2024/4/27, 104, 49, 66, 33, 6, 6
2024/4/28, 103, 35, 53, 21, 4, 5
2024/4/29, 74, 32, 61, 29, 5, 6
2024/4/30, 70, 28, 47, 15, 4, 4
2024/5/1, 64, 29, 52, 23, 4, 3
2024/5/2, 59, 33, 56, 36, 4, 4
2024/5/3, 63, 33, 49, 38, 5, 4
