date, pm25, pm10, o3, no2, so2, co
2024/9/1, 74, 32, 34, 11, 3, 5
2024/9/2, 71, , , , , 
2024/8/1, 45, 34, 50, 10, 3, 3
2024/8/2, 65, 43, 53, 11, 3, 4
2024/8/3, 80, 40, 58, 13, 3, 4
2024/8/4, 71, 31, 44, 15, 3, 3
2024/8/5, 61, 31, 47, 14, 3, 2
2024/8/6, 42, 37, 49, 20, 3, 4
2024/8/7, 55, 29, 29, 17, 4, 4
2024/8/8, 55, 36, 87, 21, 3, 3
2024/8/9, 68, 42, 53, 21, 3, 4
2024/8/10, 80, 43, 54, 15, 3, 4
2024/8/11, 69, 29, 63, 17, 3, 4
2024/8/12, 72, 16, 48, 10, 3, 3
2024/8/13, 50, 25, 40, 16, 3, 3
2024/8/14, 34, 16, 25, 12, 3, 3
2024/8/15, 42, 15, 34, 12, 3, 3
2024/8/16, 41, 19, 41, 12, 3, 3
2024/8/17, 51, 20, 32, 8, 3, 3
2024/8/18, 49, 24, 50, 15, 3, 3
2024/8/19, 59, 21, 36, 10, 3, 3
2024/8/20, 53, 9, 31, 8, 3, 3
2024/8/21, 19, 11, 33, 7, 3, 3
2024/8/22, 19, 23, 62, 10, 2, 4
2024/8/23, 53, 43, 66, 15, 3, 5
2024/8/24, 101, 34, 54, 12, 2, 4
2024/8/25, 81, 36, 50, 21, 3, 5
2024/8/26, 79, 33, 36, 20, 3, 5
2024/8/27, 80, 16, 41, 14, 3, 3
2024/8/28, 38, 16, 42, 17, 3, 3
2024/8/29, 37, 21, 63, 16, 4, 4
2024/8/30, 43, 34, 69, 15, 4, 4
2024/8/31, 75, 32, 63, 12, 4, 4
2024/7/1, 66, 23, 29, 20, 3, 5
2024/7/2, 52, 31, 61, 13, 3, 5
2024/7/3, 61, 35, 63, 13, 3, 5
2024/7/4, 81, 20, 51, 5, 3, 4
2024/7/5, 45, 24, 40, 16, 3, 4
2024/7/6, 61, 25, 63, 10, 3, 5
2024/7/7, 59, 13, 47, 21, 3, 6
2024/7/8, 39, 14, 35, 17, 3, 7
2024/7/9, 30, 12, 29, 13, 3, 4
2024/7/10, 26, 30, 36, 13, 3, 4
2024/7/11, 64, 36, 71, 16, 3, 4
2024/7/12, 77, 33, 51, 14, 3, 5
2024/7/13, 76, 20, 37, 8, 3, 4
2024/7/14, 52, 18, 37, 8, 3, 4
2024/7/15, 30, 20, 28, 15, 3, 5
2024/7/16, 48, 15, 18, 10, 3, 4
2024/7/17, 30, 19, 39, 10, 3, 4
2024/7/18, 40, 13, 31, 12, 2, 4
2024/7/19, 29, 15, 27, 10, 3, 4
2024/7/20, 33, 21, 33, 9, 3, 4
2024/7/21, 43, 17, 22, 8, 3, 4
2024/7/22, 36, 14, 25, 8, 3, 3
2024/7/23, 29, 19, 39, 10, 3, 4
2024/7/24, 37, 15, 25, 10, 3, 4
2024/7/25, 35, 15, 29, 10, 3, 4
2024/7/26, 34, 21, 27, 8, 3, 4
2024/7/27, 40, 24, 21, 6, 3, 4
2024/7/28, 36, 19, 21, 6, 3, 3
2024/7/29, 32, 21, 29, 7, 3, 2
2024/7/30, 34, 20, 26, 7, 3, 2
2024/7/31, 36, 32, 36, 9, 3, 2
2024/4/1, 76, 59, 55, 36, 4, 5
2024/4/2, 85, 19, 41, 18, 4, 5
2024/4/3, 39, 33, 40, 21, 3, 5
2024/4/4, 54, 40, 52, 16, 3, 4
2024/4/5, 70, 51, 55, 24, 3, 6
2024/4/6, 87, 57, 89, 22, 5, 7
2024/4/7, 115, 61, 80, 30, 8, 6
2024/4/8, 119, 52, 52, 27, 5, 5
2024/4/9, 94, 45, 53, 12, 6, 4
2024/4/10, 65, 55, 60, 19, 5, 5
2024/4/11, 80, 55, 61, 26, 4, 4
2024/4/12, 84, 49, 71, 26, 4, 5
2024/4/13, 80, 42, 67, 19, 4, 5
2024/4/14, 76, 25, 42, 18, 4, 4
2024/4/15, 56, 45, 51, 13, 3, 4
2024/4/16, 79, 121, 55, 19, 3, 5
2024/4/17, 135, 120, 55, 31, 5, 5
2024/4/18, 115, 62, 83, 26, 3, 4
2024/4/19, 80, 48, 39, 25, 3, 5
2024/4/20, 71, 22, 46, 11, 3, 4
2024/4/21, 42, 39, 44, 14, 3, 4
2024/4/22, 68, 35, 51, 15, 3, 3
2024/4/23, 59, 26, 46, 11, 3, 4
2024/4/24, 59, 35, 47, 19, 4, 4
2024/4/25, 62, 46, 72, 28, 4, 4
2024/4/26, 72, 45, 76, 22, 5, 4
2024/4/27, 71, 33, 71, 20, 4, 5
2024/4/28, 62, 44, 51, 17, 3, 4
2024/4/29, 78, 38, 52, 14, 3, 4
2024/4/30, 82, 34, 44, 11, 3, 3
2024/5/1, 65, 41, 76, 19, 3, 3
2024/5/2, 73, 49, 92, 32, 4, 4
2024/5/3, 85, 50, 81, 27, 4, 4
2024/5/4, 96, 27, 34, 13, 3, 4
2024/5/5, 61, 18, 56, 10, 3, 4
2024/5/6, 43, 30, 46, 15, 3, 5
2024/5/7, 66, 22, 42, 17, 3, 4
2024/5/8, 40, 29, 55, 20, 4, 4
2024/5/9, 64, 38, 69, 21, 3, 3
2024/5/10, 68, 30, 42, 14, 3, 3
2024/5/11, 59, 69, 48, 10, 3, 3
2024/5/12, 76, 40, 62, 22, 4, 3
2024/5/13, 65, 37, 69, 24, 3, 3
2024/5/14, 71, 29, 62, 16, 3, 3
2024/5/15, 55, 26, 70, 12, 3, 3
2024/5/16, 36, 42, 79, 19, 3, 4
2024/5/17, 74, 33, 49, 22, 3, 4
2024/5/18, 58, 29, 56, 15, 4, 5
2024/5/19, 62, 39, 45, 19, 4, 4
2024/5/20, 70, 36, 43, 16, 3, 3
2024/5/21, 80, 46, 74, 17, 3, 4
2024/5/22, 98, 56, 68, 19, 4, 6
2024/5/23, 113, 50, 67, 18, 4, 4
2024/5/24, 108, 34, 40, 12, 3, 3
2024/5/25, 54, 30, 46, 11, 3, 4
2024/5/26, 57, 31, 48, 13, 3, 3
2024/5/27, 53, 28, 44, 19, 3, 3
2024/5/28, 53, 27, 54, 19, 3, 3
2024/5/29, 52, 33, 51, 26, 4, 4
2024/5/30, 67, 27, 57, 12, 4, 3
2024/5/31, 58, 31, 49, 10, 3, 4
2024/6/1, 61, 26, 58, 9, 3, 4
2024/6/2, 64, 34, 54, 14, 4, 4
2024/6/3, 60, 23, 48, 16, 3, 3
2024/6/4, 53, 37, 56, 17, 3, 4
2024/6/5, 75, 42, 66, 13, 4, 4
2024/6/6, 86, 43, 71, 17, 4, 5
2024/6/7, 85, 33, 40, 12, 3, 5
2024/6/8, 67, 30, 53, 9, 3, 4
2024/6/9, 49, 46, 114, 13, 3, 5
2024/6/10, 85, 49, 93, 14, 3, 4
2024/6/11, 87, 41, 89, 17, 5, 4
2024/6/12, 73, 39, 94, 22, 4, 4
2024/6/13, 76, 56, 93, 19, 4, 4
2024/6/14, 91, 42, 38, 14, 4, 5
2024/6/15, 80, 27, 60, 9, 3, 4
2024/6/16, 61, 32, 68, 20, 5, 4
2024/6/17, 65, 35, 88, 21, 3, 4
2024/6/18, 71, 41, 107, 21, 4, 3
2024/6/19, 84, 34, 57, 21, 4, 4
2024/6/20, 71, 39, 102, 23, 5, 3
2024/6/21, 82, 27, 41, 16, 3, 5
2024/6/22, 62, 18, 39, 7, 3, 5
2024/6/23, 44, 39, 80, 11, 2, 4
2024/6/24, 77, 34, 55, 11, 3, 3
2024/6/25, 58, 31, 74, 17, 3, 3
2024/6/26, 62, 38, 60, 24, 3, 4
2024/6/27, 84, 37, 92, 24, 3, 4
2024/6/28, 74, 28, 48, 13, 3, 4
2024/6/29, 63, 15, 37, 9, 3, 4
2024/6/30, 42, 30, 52, 16, 3, 4
2024/1/1, 76, 43, 31, 25, 4, 7
2024/1/2, 86, 51, 29, 25, 4, 6
2024/1/3, 96, 49, 29, 33, 4, 7
2024/1/4, 98, 65, 39, 36, 4, 9
2024/1/5, 119, 53, 30, 26, 5, 7
2024/1/6, 95, 31, 30, 12, 4, 4
2024/1/7, 59, 29, 22, 23, 4, 5
2024/1/8, 58, 38, 20, 34, 5, 7
2024/1/9, 69, 74, 13, 36, 4, 7
2024/1/10, 141, 52, 28, 30, 4, 7
2024/1/11, 125, 53, 32, 34, 5, 8
2024/1/12, 85, 36, 27, 36, 5, 7
2024/1/13, 66, 36, 34, 32, 3, 7
2024/1/14, 72, 35, 26, 21, 4, 6
2024/1/15, 64, 39, 20, 37, 5, 7
2024/1/16, 65, 45, 3, 48, 6, 10
2024/1/17, 92, 30, 30, 37, 4, 8
2024/1/18, 78, 27, 33, 14, 3, 5
2024/1/19, 53, 16, 31, 16, 3, 4
2024/1/20, 20, 14, 22, 16, 3, 5
2024/1/21, 35, 38, 28, 12, 3, 5
2024/1/22, 57, 35, 30, 14, 3, 6
2024/1/23, 55, 31, 29, 17, 4, 6
