date, pm25, pm10, o3, no2, so2, co
2024/9/1, 76, 20, 32, 16, 3, 3
2024/9/2, 56, , , , , 
2024/8/1, 45, 27, 44, 7, 3, 2
2024/8/2, 63, 32, 68, 8, 3, 3
2024/8/3, 84, 30, 87, 10, 3, 3
2024/8/4, 80, 28, 55, 14, 3, 3
2024/8/5, 77, 15, 62, 13, 3, 2
2024/8/6, 39, 22, 33, 12, 3, 2
2024/8/7, 61, 19, 45, 12, 2, 2
2024/8/8, 58, 29, 80, 16, 2, 3
2024/8/9, 72, 32, 77, 13, 2, 3
2024/8/10, 81, 29, 59, 9, 2, 3
2024/8/11, 80, 30, 81, 16, 2, 3
2024/8/12, 76, 27, 76, 15, 2, 2
2024/8/13, 71, 25, 70, 17, 2, 2
2024/8/14, 66, 22, 68, 11, 3, 2
2024/8/15, 64, 24, 70, 13, 2, 2
2024/8/16, 60, 19, 74, 11, 2, 2
2024/8/17, 56, 19, 71, 7, 2, 2
2024/8/18, 56, 24, 76, 13, 2, 3
2024/8/19, 64, 25, 43, 12, 2, 2
2024/8/20, 66, 13, 20, 9, 2, 1
2024/8/21, 33, 17, 19, 8, 3, 2
2024/8/22, 32, 32, 75, 8, 4, 3
2024/8/23, 85, 37, 78, 14, 3, 4
2024/8/24, 93, 37, 89, 11, 3, 4
2024/8/25, 94, 37, 70, 21, 3, 5
2024/8/26, 92, 21, 31, 16, 2, 3
2024/8/27, 56, 12, 44, 10, 2, 2
2024/8/28, 35, 10, 36, 7, 2, 2
2024/8/29, 24, 13, 43, 10, 3, 2
2024/8/30, 28, 34, 72, 9, 3, 3
2024/8/31, 69, 29, 56, 10, 3, 4
2024/7/1, 62, 18, 24, 18, 2, 3
2024/7/2, 43, 24, 49, 10, 3, 3
2024/7/3, 57, 38, 50, 12, 3, 4
2024/7/4, 94, 15, 54, 8, 2, 2
2024/7/5, 39, 27, 27, 15, 2, 3
2024/7/6, 67, 21, 39, 11, 2, 3
2024/7/7, 55, 11, 22, 16, 2, 2
2024/7/8, 31, 13, 25, 17, 2, 2
2024/7/9, 39, 11, 41, 14, 2, 2
2024/7/10, 26, 32, 66, 20, 3, 4
2024/7/11, 83, 34, 63, 22, 2, 4
2024/7/12, 85, 47, 64, 18, 3, 5
2024/7/13, 117, 30, 37, 11, 2, 3
2024/7/14, 82, 10, 38, 14, 2, 2
2024/7/15, 29, 12, 31, 15, 2, 2
2024/7/16, 36, 11, 13, 13, 2, 2
2024/7/17, 24, 9, 20, 17, 3, 2
2024/7/18, 19, 23, 51, 14, 3, 3
2024/7/19, 62, 17, 43, 14, 6, 2
2024/7/20, 44, 18, 49, 13, 6, 2
2024/7/21, 47, 14, 17, 14, 4, 1
2024/7/22, 28, 10, 20, 13, 3, 1
2024/7/23, 25, 14, 28, 16, 4, 2
2024/7/24, 34, 17, 46, 16, 4, 2
2024/7/25, 40, 13, 30, 17, 4, 2
2024/7/26, 34, 14, 26, 14, 4, 2
2024/7/27, 33, 16, 20, 9, 4, 1
2024/7/28, 33, 17, 30, 10, 4, 1
2024/7/29, 34, 19, 46, 10, 2, 1
2024/7/30, 46, 16, 22, 7, 1, 1
2024/7/31, 41, 18, 34, 7, 1, 2
2024/4/1, 53, 43, 61, 39, 3, 5
2024/4/2, 72, 35, 29, 33, 3, 4
2024/4/3, 68, 27, 42, 16, 3, 3
2024/4/4, 56, 34, 55, 14, 3, 3
2024/4/5, 66, 53, 56, 27, 3, 5
2024/4/6, 104, 47, 76, 24, 4, 5
2024/4/7, 95, 46, 51, 35, 3, 5
2024/4/8, 85, 35, 43, 15, 3, 3
2024/4/9, 64, 35, 49, 11, 3, 2
2024/4/10, 62, 42, 41, 23, 3, 3
2024/4/11, 68, 43, 54, 29, 3, 4
2024/4/12, 79, 36, 53, 21, 3, 3
2024/4/13, 73, 38, 80, 20, 4, 4
2024/4/14, 78, 19, 38, 16, 3, 3
2024/4/15, 46, 51, 48, 16, 3, 4
2024/4/16, 87, 94, 38, 26, 3, 5
2024/4/17, 141, 78, 52, 30, 3, 4
2024/4/18, 98, 66, 100, 24, 5, 4
2024/4/19, 93, 47, 40, 21, 3, 4
2024/4/20, 84, 14, 42, 8, 2, 2
2024/4/21, 22, 28, 44, 12, 2, 2
2024/4/22, 61, 19, 42, 12, 2, 2
2024/4/23, 46, 10, 35, 12, 2, 2
2024/4/24, 25, 28, 64, 17, 2, 4
2024/4/25, 70, 53, 64, 27, 3, 4
2024/4/26, 94, 44, 69, 25, 4, 4
2024/4/27, 86, 30, 92, 21, 3, 4
2024/4/28, 69, 36, 51, 14, 2, 3
2024/4/29, 69, 45, 54, 18, 4, 4
2024/4/30, 92, 23, 49, 10, 2, 2
2024/5/1, 56, 29, 60, 19, 3, 3
2024/5/2, 66, 40, 80, 27, 4, 4
2024/5/3, 79, 46, 115, 29, 5, 4
2024/5/4, 94, 22, 37, 13, 3, 3
2024/5/5, 53, 9, 43, 8, 2, 2
2024/5/6, 24, 19, 36, 13, 2, 3
2024/5/7, 43, 17, 39, 11, 2, 2
2024/5/8, 38, 25, 67, 16, 3, 3
2024/5/9, 54, 24, 59, 13, 3, 3
2024/5/10, 54, 17, 40, 12, 3, 2
2024/5/11, 37, 50, 42, 9, 3, 2
2024/5/12, 53, 28, 49, 18, 3, 3
2024/5/13, 55, 23, 63, 18, 3, 3
2024/5/14, 52, 20, 41, 13, 3, 2
2024/5/15, 34, 15, 52, 9, 3, 2
2024/5/16, 30, 35, 73, 17, 4, 4
2024/5/17, 65, 24, 53, 17, 3, 3
2024/5/18, 49, 21, 67, 11, 3, 2
2024/5/19, 48, 26, 34, 13, 4, 2
2024/5/20, 57, 37, 69, 18, 3, 3
2024/5/21, 76, 49, 65, 20, 4, 4
2024/5/22, 105, 29, 53, 20, 4, 3
2024/5/23, 66, 33, 41, 16, 3, 3
2024/5/24, 76, 27, 54, 13, 3, 2
2024/5/25, 56, 22, 45, 10, 3, 2
2024/5/26, 53, 22, 45, 10, 3, 3
2024/5/27, 41, 15, 32, 14, 2, 2
2024/5/28, 29, 22, 51, 22, 3, 3
2024/5/29, 48, 27, 45, 30, 3, 4
2024/5/30, 62, 22, 54, 15, 3, 2
2024/5/31, 57, 24, 41, 9, 2, 2
2024/6/1, 56, 18, 47, 8, 3, 2
2024/6/2, 46, 12, 37, 12, 2, 2
2024/6/3, 30, 16, 49, 13, 2, 2
2024/6/4, 37, 32, 73, 26, 4, 3
2024/6/5, 73, 36, 93, 20, 4, 3
2024/6/6, 86, 27, 77, 18, 3, 3
2024/6/7, 67, 21, 42, 13, 3, 3
2024/6/8, 61, 26, 84, 12, 3, 3
2024/6/9, 65, 39, 92, 14, 4, 4
2024/6/10, 85, 51, 94, 12, 3, 4
2024/6/11, 112, 27, 89, 18, 3, 3
2024/6/12, 62, 28, 71, 23, 4, 3
2024/6/13, 64, 31, 77, 22, 5, 3
2024/6/14, 73, 25, 27, 13, 3, 2
2024/6/15, 70, 20, 47, 9, 3, 2
2024/6/16, 56, 19, 58, 17, 3, 3
2024/6/17, 49, 22, 72, 20, 3, 3
2024/6/18, 57, 37, 138, 21, 4, 3
2024/6/19, 88, 38, 99, 18, 5, 4
2024/6/20, 91, 33, 82, 25, 5, 3
2024/6/21, 80, 31, 33, 19, 4, 4
2024/6/22, 80, 15, 38, 8, 2, 2
2024/6/23, 46, 45, 55, 12, 2, 3
2024/6/24, 72, 18, 42, 10, 3, 2
2024/6/25, 37, 21, 70, 16, 3, 2
2024/6/26, 53, 25, 74, 22, 3, 3
2024/6/27, 59, 36, 114, 24, 4, 3
2024/6/28, 85, 29, 58, 17, 3, 3
2024/6/29, 74, 16, 38, 7, 2, 2
2024/6/30, 46, 26, 85, 14, 2, 3
2024/1/1, 65, 37, 20, 21, 3, 4
2024/1/2, 88, 38, 25, 30, 3, 5
2024/1/3, 89, 48, 16, 30, 4, 6
2024/1/4, 102, 63, 28, 28, 4, 7
2024/1/5, 134, 22, 21, 17, 3, 3
2024/1/6, 50, 21, 24, 9, 3, 3
2024/1/7, 52, 21, 13, 24, 3, 4
2024/1/8, 54, 29, 2, 36, 3, 5
2024/1/9, 75, 55, 7, 38, 4, 7
2024/1/10, 137, 55, 10, 37, 4, 6
2024/1/11, 134, 46, 22, 23, 4, 5
2024/1/12, 102, 22, 18, 28, 4, 4
2024/1/13, 47, 29, 26, 32, 4, 6
2024/1/14, 74, 21, 22, 18, 4, 4
2024/1/15, 49, 28, 15, 33, 4, 5
2024/1/16, 63, 33, 1, 39, 4, 6
2024/1/17, 81, 25, 26, 27, 4, 5
2024/1/18, 69, 14, 28, 15, 3, 3
2024/1/19, 38, 4, 28, 11, 2, 2
2024/1/20, 8, 11, 25, 13, 2, 3
2024/1/21, 33, 29, 24, 10, 2, 3
2024/1/22, 71, 18, 24, 9, 2, 3
2024/1/23, 50, 20, 24, 10, 2, 3
2024/1/24, 47, 20, 21, 17, 3, 4
2024/1/25, 53, 29, 15, 31, 3, 5
2024/1/26, 71, 48, 30, 32, 3, 7
2024/1/27, 107, 27, 26, 21, 3, 4
2024/1/28, 68, 39, 26, 32, 3, 6
2024/1/29, 94, 51, 16, 42, 3, 7
2024/1/30, 115, 48, 31, 39, 3, 6
2024/1/31, 107, 65, 28, 26, 3, 7
2024/2/1, 140, 32, 18, 34, 3, 5
2024/2/2, 81, 30, 19, 31, 3, 5
2024/2/3, 77, 18, 29, 21, 3, 3
2024/2/4, 52, 5, 28, 12, 2, 2
2024/2/5, 15, 11, 25, 21, 2, 3
2024/2/6, 33, 31, 22, 23, 2, 5
2024/2/7, 84, 37, 27, 31, 3, 6
2024/2/8, 89, 28, 33, 29, 3, 5
2024/2/9, 76, 41, 38, 19, 3, 5
2024/2/10, 95, 50, 35, 18, 3, 5
2024/2/11, 123, 56, 33, 24, 3, 6
2024/2/12, 131, 56, 36, 37, 3, 6
2024/2/13, 116, 44, 32, 38, 3, 6
2024/2/14, 88, 21, 29, 17, 2, 3
2024/2/15, 57, 21, 24, 24, 2, 4
2024/2/16, 54, 36, 28, 33, 3, 5
2024/2/17, 85, 31, 15, 31, 2, 5
2024/2/18, 74, 13, 15, 29, 3, 5
2024/2/19, 34, 25, 21, 21, 2, 4
2024/2/20, 51, 3, 26, 12, 2, 2
2024/2/21, 6, 6, 28, 12, 2, 2
2024/2/22, 11, 7, 28, 12, 2, 2
2024/2/23, 16, 11, 28, 12, 2, 2
2024/2/24, 29, 12, 26, 12, 2, 3
2024/2/25, 37, 24, 26, 21, 2, 4
2024/2/26, 58, 17, 28, 15, 2, 2
2024/2/27, 35, 29, 23, 22, 2, 3
2024/2/28, 61, 48, 32, 27, 3, 5
2024/2/29, 101, 31, 33, 6, 2, 2
2024/3/1, 45, 27, 33, 11, 2, 3
2024/3/2, 47, 77, 35, 16, 2, 5
2024/3/3, 147, 60, 24, 35, 3, 5
2024/3/4, 110, 40, 33, 30, 3, 4
2024/3/5, 68, 11, 28, 17, 2, 2
2024/3/6, 27, 26, 30, 18, 2, 3
2024/3/7, 60, 37, 35, 13, 3, 3
2024/3/8, 72, 28, 31, 12, 2, 3
2024/3/9, 61, 25, 37, 18, 2, 3
2024/3/10, 60, 29, 30, 33, 3, 3
2024/3/11, 62, 28, 26, 35, 3, 4
2024/3/12, 65, 37, 49, 21, 3, 3
2024/3/13, 77, 49, 45, 23, 3, 3
2024/3/14, 97, 42, 41, 23, 3, 3
2024/3/15, 85, 44, 44, 27, 4, 4
2024/3/16, 90, 59, 40, 11, 3, 3
2024/3/17, 64, 19, 28, 21, 3, 3
