date, pm25, pm10, o3, no2, so2, co
2024/9/1, 67, 30, 42, 9, 2, 4
2024/9/2, 69, , , , , 
2024/8/1, 38, 30, 67, 5, 2, 3
2024/8/2, 62, 28, 69, 5, 2, 3
2024/8/3, 65, 20, 38, 6, 3, 3
2024/8/4, 54, 24, 40, 8, 2, 3
2024/8/5, 60, 22, 42, 8, 2, 3
2024/8/6, 54, 25, 46, 8, 3, 3
2024/8/7, 64, 20, 38, 8, 3, 2
2024/8/8, 51, 23, 43, 8, 5, 3
2024/8/9, 60, 26, 41, 7, 3, 3
2024/8/10, 66, 23, 49, 5, 3, 3
2024/8/11, 59, 26, 62, 7, 3, 3
2024/8/12, 60, 25, 66, 9, 4, 3
2024/8/13, 60, 28, 66, 9, 3, 4
2024/8/14, 69, 29, 61, 7, 3, 3
2024/8/15, 73, 26, 55, 7, 2, 3
2024/8/16, 65, 20, 48, 6, 3, 3
2024/8/17, 58, 19, 46, 5, 3, 2
2024/8/18, 54, 22, 48, 8, 2, 3
2024/8/19, 57, 27, 31, 9, 2, 3
2024/8/20, 60, 13, 22, 4, 1, 2
2024/8/21, 30, 17, 40, 6, 2, 2
2024/8/22, 37, 32, 63, 8, 2, 3
2024/8/23, 74, 42, 65, 6, 2, 4
2024/8/24, 100, 30, 56, 5, 2, 4
2024/8/25, 82, 31, 54, 9, 2, 4
2024/8/26, 79, 40, 34, 12, 2, 5
2024/8/27, 100, 16, 40, 8, 2, 3
2024/8/28, 39, 15, 46, 10, 2, 3
2024/8/29, 34, 19, 51, 9, 4, 3
2024/8/30, 43, 29, 59, 6, 3, 4
2024/8/31, 67, 28, 58, 5, 2, 3
2024/7/1, 47, 19, 28, 7, 2, 2
2024/7/2, 46, 27, 59, 6, 2, 3
2024/7/3, 62, 33, 54, 7, 2, 3
2024/7/4, 75, 24, 49, 6, 2, 2
2024/7/5, 50, 24, 37, 4, 2, 2
2024/7/6, 51, 28, 50, 4, 2, 3
2024/7/7, 59, 20, 45, 8, 2, 3
2024/7/8, 53, 19, 36, 8, 2, 2
2024/7/9, 44, 19, 49, 8, 2, 2
2024/7/10, 39, 25, 43, 6, 2, 3
2024/7/11, 57, 33, 61, 7, 3, 4
2024/7/12, 76, 37, 50, 8, 3, 4
2024/7/13, 87, 23, 38, 5, 2, 3
2024/7/14, 54, 18, 45, 10, 3, 3
2024/7/15, 43, 18, 36, 8, 2, 3
2024/7/16, 45, 14, 22, 4, 2, 2
2024/7/17, 27, 20, 46, 4, 2, 2
2024/7/18, 41, 14, 37, 6, 2, 2
2024/7/19, 32, 16, 31, 6, 2, 2
2024/7/20, 37, 18, 27, 3, 2, 2
2024/7/21, 39, 14, 15, 4, 2, 2
2024/7/22, 31, 14, 14, 5, 2, 2
2024/7/23, 30, 16, 17, 5, 2, 2
2024/7/24, 27, 17, 18, 8, 2, 2
2024/7/25, 42, 17, 18, 5, 2, 2
2024/7/26, 40, 13, 20, 4, 2, 2
2024/7/27, 31, 20, 18, 2, 2, 2
2024/7/28, 35, 17, 20, 4, 2, 2
2024/7/29, 30, 17, 24, 3, 2, 2
2024/7/30, 32, 13, 20, 4, 2, 2
2024/7/31, 29, 20, 30, 4, 2, 2
2024/4/1, 86, 48, 46, 18, 3, 4
2024/4/2, 92, 14, 40, 11, 2, 3
2024/4/3, 45, 48, 45, 16, 2, 4
2024/4/4, 85, 42, 51, 9, 2, 3
2024/4/5, 75, 56, 60, 14, 3, 4
2024/4/6, 109, 56, 71, 13, 4, 4
2024/4/7, 115, 47, 64, 20, 3, 4
2024/4/8, 84, 61, 75, 15, 3, 4
2024/4/9, 120, 50, 50, 10, 2, 3
2024/4/10, 83, 44, 51, 12, 2, 3
2024/4/11, 73, 46, 44, 12, 2, 3
2024/4/12, 89, 43, 56, 11, 4, 4
2024/4/13, 82, 39, 58, 10, 4, 3
2024/4/14, 75, 21, 44, 9, 3, 3
2024/4/15, 53, 37, 52, 10, 2, 3
2024/4/16, 91, 91, 46, 10, 3, 4
2024/4/17, 122, 104, 61, 14, 5, 4
2024/4/18, 110, 66, 86, 17, 4, 4
2024/4/19, 90, 49, 39, 11, 2, 3
2024/4/20, 85, 15, 36, 9, 1, 4
2024/4/21, 36, 37, 38, 10, 2, 3
2024/4/22, 63, 38, 49, 8, 2, 3
2024/4/23, 68, 29, 52, 7, 2, 3
