date, pm25, pm10, o3, no2, so2, co
2024/9/1, 63, 29, 29, 12, 5, 5
2024/9/2, 69, , , , , 
2024/8/1, 28, 27, 55, 12, 3, 5
2024/8/2, 51, 27, 43, 11, 3, 5
2024/8/3, 61, 19, 39, 10, 3, 4
2024/8/4, 53, 32, 40, 20, 3, 6
2024/8/5, 64, 20, 48, 17, 3, 5
2024/8/6, 48, 26, 44, 14, 3, 5
2024/8/7, 57, 20, 33, 15, 3, 4
2024/8/8, 48, 21, 44, 17, 3, 4
2024/8/9, 50, 25, 47, 16, 3, 5
2024/8/10, 60, 21, 42, 12, 4, 4
2024/8/11, 47, 32, 83, 21, 4, 5
2024/8/12, 71, 27, 45, 13, 3, 4
2024/8/13, 66, 17, 51, 12, 3, 2
2024/8/14, 50, 12, 42, 13, 3, 3
2024/8/15, 33, 16, 38, 19, 3, 4
2024/8/16, 40, 24, 53, 17, 3, 5
2024/8/17, 47, 19, 43, 11, 3, 4
2024/8/18, 42, 37, 40, 18, 4, 5
2024/8/19, 68, 36, 24, 15, 4, 5
2024/8/20, 63, 12, 24, 8, 3, 3
2024/8/21, 24, 12, 35, 11, 3, 3
2024/8/22, 23, 30, 43, 11, 3, 4
2024/8/23, 63, 45, 66, 15, 3, 6
2024/8/24, 93, 35, 49, 12, 3, 6
2024/8/25, 81, 25, 51, 22, 3, 8
2024/8/26, 80, 35, 30, 22, 4, 7
2024/8/27, 74, 22, 34, 17, 4, 4
2024/8/28, 42, 17, 32, 17, 4, 4
2024/8/29, 26, 17, 41, 21, 4, 4
2024/8/30, 34, 24, 55, 17, 4, 5
2024/8/31, 56, 25, 51, 13, 4, 5
2024/7/1, 36, 19, 22, 12, 3, 5
2024/7/2, 38, 20, 54, 14, 3, 5
2024/7/3, 46, 28, 50, 16, 4, 6
2024/7/4, 59, 19, 38, 8, 3, 5
2024/7/5, 48, 20, 33, 11, 3, 4
2024/7/6, 43, 27, 36, 9, 3, 4
2024/7/7, 54, 25, 33, 15, 3, 5
2024/7/8, 55, 27, 34, 18, 3, 5
2024/7/9, 56, 14, 35, 10, 3, 4
2024/7/10, 26, 23, 30, 17, 3, 4
2024/7/11, 41, 29, 49, 17, 3, 6
2024/7/12, 62, 32, 42, 18, 4, 6
2024/7/13, 68, 18, 40, 14, 3, 5
2024/7/14, 40, 18, 48, 16, 4, 5
2024/7/15, 47, 17, 30, 18, 3, 6
2024/7/16, 37, 19, 12, 11, 3, 4
2024/7/17, 23, 22, 38, 13, 3, 6
2024/7/18, 41, 14, 33, 17, 4, 5
2024/7/19, 26, 16, 22, 13, 3, 5
2024/7/20, 30, 13, 28, 9, 4, 4
2024/7/21, 29, 15, 14, 9, 4, 4
2024/7/22, 22, 16, 13, 11, 3, 4
2024/7/23, 22, 15, 18, 12, 3, 5
2024/7/24, 24, 19, 15, 12, 4, 5
2024/7/25, 28, 14, 15, 9, 3, 4
2024/7/26, 21, 14, 17, 9, 3, 4
2024/7/27, 25, 15, 15, 6, 3, 3
2024/7/28, 19, 15, 17, 9, 3, 4
2024/7/29, 20, 14, 20, 9, 3, 3
2024/7/30, 21, 15, 19, 11, 3, 4
2024/7/31, 21, 17, 27, 9, 3, 4
2024/4/1, 74, 52, 49, 36, 4, 6
2024/4/2, 69, 15, 41, 25, 3, 5
2024/4/3, 20, 34, 45, 23, 4, 6
2024/4/4, 64, 59, 48, 26, 3, 5
2024/4/5, 83, 53, 45, 28, 4, 5
2024/4/6, 81, 50, 63, 23, 4, 5
2024/4/7, 90, 62, 53, 39, 4, 7
2024/4/8, 86, 56, 62, 26, 5, 5
2024/4/9, 87, 43, 68, 18, 6, 5
2024/4/10, 64, 43, 41, 24, 4, 5
2024/4/11, 65, 42, 43, 25, 4, 5
2024/4/12, 69, 47, 64, 24, 4, 5
2024/4/13, 78, 42, 58, 20, 6, 5
2024/4/14, 65, 21, 42, 16, 5, 4
2024/4/15, 34, 40, 47, 15, 3, 5
2024/4/16, 69, 119, 42, 24, 4, 5
2024/4/17, 118, 111, 60, 25, 4, 5
2024/4/18, 112, 68, 55, 31, 4, 5
2024/4/19, 79, 53, 50, 26, 3, 5
2024/4/20, 61, 14, 31, 18, 3, 5
2024/4/21, 29, 31, 31, 24, 3, 6
2024/4/22, 58, 43, 42, 23, 3, 5
2024/4/23, 77, 37, 45, 16, 4, 4
2024/4/24, 65, 32, 51, 21, 3, 4
2024/4/25, 52, 40, 51, 27, 4, 5
2024/4/26, 62, 36, 59, 23, 4, 5
2024/4/27, 58, 40, 76, 20, 4, 5
2024/4/28, 63, 31, 47, 24, 4, 6
2024/4/29, 61, 43, 48, 19, 3, 5
2024/4/30, 73, 33, 38, 17, 3, 5
2024/5/1, 68, 50, 49, 25, 3, 5
2024/5/2, 73, 50, 66, 27, 4, 5
2024/5/3, 72, 45, 47, 27, 5, 5
2024/5/4, 77, 9, 37, 7, 2, 3
2024/5/5, 18, 27, 48, 12, 3, 5
2024/5/6, 52, 46, 46, 18, 3, 5
2024/5/7, 95, 22, 41, 22, 3, 4
2024/5/8, 47, 33, 45, 23, 3, 5
2024/5/9, 61, 36, 48, 26, 4, 4
2024/5/10, 53, 25, 44, 14, 3, 4
2024/5/11, 44, 70, 45, 14, 3, 4
2024/5/12, 71, 41, 49, 27, 4, 4
2024/5/13, 57, 42, 65, 26, 4, 5
2024/5/14, 65, 36, 54, 18, 4, 4
2024/5/15, 57, 35, 65, 14, 4, 4
2024/5/16, 37, 45, 54, 23, 4, 5
2024/5/17, 60, 33, 49, 21, 4, 4
2024/5/18, 52, 29, 53, 21, 5, 4
2024/5/19, 54, 41, 50, 24, 5, 4
2024/5/20, 59, 48, 78, 19, 5, 5
2024/5/21, 78, 53, 74, 19, 3, 5
2024/5/22, 88, 52, 61, 22, 4, 5
2024/5/23, 85, 49, 54, 23, 4, 4
2024/5/24, 84, 53, 75, 20, 5, 5
2024/5/25, 79, 32, 40, 14, 5, 5
2024/5/26, 44, 38, 46, 21, 3, 4
2024/5/27, 42, 42, 57, 24, 4, 4
2024/5/28, 51, 48, 77, 25, 4, 5
2024/5/29, 64, 44, 61, 27, 4, 5
2024/5/30, 69, 35, 52, 16, 4, 4
2024/5/31, 56, 33, 54, 13, 4, 4
2024/6/1, 47, 33, 49, 15, 4, 4
2024/6/2, 64, 43, 57, 23, 4, 5
2024/6/3, 60, 35, 47, 15, 3, 4
2024/6/4, 58, 31, 54, 6, 3, 3
2024/6/5, 56, 45, 61, 13, 5, 5
2024/6/6, 62, 42, 48, 22, 5, 5
2024/6/7, 73, 16, 40, 18, 4, 5
2024/6/8, 41, 19, 46, 13, 3, 5
2024/6/9, 36, 46, 93, 21, 4, 5
2024/6/10, 68, 44, 71, 20, 4, 5
2024/6/11, 79, 46, 76, 17, 4, 5
2024/6/12, 76, 40, 81, 23, 4, 5
2024/6/13, 65, 49, 48, 18, 5, 6
2024/6/14, 82, 40, 49, 16, 5, 4
2024/6/15, 75, 22, 57, 11, 3, 4
2024/6/16, 53, 40, 51, 26, 7, 5
2024/6/17, 60, 39, 61, 24, 4, 4
2024/6/18, 60, 37, 85, 29, 4, 5
2024/6/19, 62, 34, 53, 25, 4, 5
2024/6/20, 60, 32, 49, 20, 4, 5
2024/6/21, 50, 14, 47, 15, 4, 5
2024/6/22, 28, 17, 41, 10, 3, 5
2024/6/23, 39, 38, 59, 15, 3, 5
2024/6/24, 66, 41, 47, 18, 3, 4
2024/6/25, 53, 29, 48, 21, 4, 3
2024/6/26, 50, 33, 43, 30, 7, 6
2024/6/27, 60, 26, 55, 24, 4, 5
2024/6/28, 53, 14, 34, 15, 4, 5
2024/6/29, 27, 9, 31, 11, 3, 5
2024/6/30, 23, 16, 36, 15, 4, 5
2024/1/1, 82, 39, 31, 31, 3, 7
2024/1/2, 77, 38, 34, 29, 3, 6
2024/1/3, 89, 43, 30, 37, 4, 8
2024/1/4, 94, 60, 36, 42, 4, 11
2024/1/5, 119, 48, 33, 28, 4, 6
2024/1/6, 91, 33, 32, 13, 4, 5
2024/1/7, 52, 25, 27, 24, 4, 5
2024/1/8, 41, 31, 15, 39, 4, 7
2024/1/9, 64, 42, 34, 27, 4, 7
2024/1/10, 99, 52, 29, 38, 4, 10
2024/1/11, 109, 51, 37, 32, 5, 9
2024/1/12, 96, 38, 33, 36, 5, 7
2024/1/13, 62, 37, 41, 36, 3, 10
2024/1/14, 72, 24, 32, 20, 4, 6
2024/1/15, 57, 29, 26, 33, 5, 7
2024/1/16, 53, 45, 13, 48, 5, 12
2024/1/17, 79, 21, 15, 33, 4, 9
2024/1/18, 64, 24, 26, 25, 3, 6
2024/1/19, 61, 13, 30, 16, 3, 6
2024/1/20, 32, 12, 31, 16, 3, 6
2024/1/21, 31, 19, 33, 12, 3, 7
2024/1/22, 45, 15, 34, 13, 3, 6
2024/1/23, 43, 17, 33, 15, 3, 6
2024/1/24, 46, 20, 34, 22, 4, 6
2024/1/25, 52, 29, 37, 35, 4, 7
2024/1/26, 67, 39, 39, 38, 4, 8
2024/1/27, 92, 32, 38, 25, 4, 6
2024/1/28, 71, 34, 38, 36, 3, 7
2024/1/29, 70, 52, 29, 41, 5, 9
2024/1/30, 95, 37, 36, 33, 5, 8
2024/1/31, 83, 61, 35, 33, 4, 7
2024/2/1, 137, 67, 33, 27, 4, 8
2024/2/2, 139, 39, 32, 31, 4, 6
2024/2/3, 74, 19, 30, 18, 3, 5
2024/2/4, 40, 9, 31, 21, 3, 5
