date, pm25, pm10, o3, no2, so2, co
2024/9/1, 59, 26, 50, 5, 2, 5
2024/9/2, 67, , , , , 
2024/8/1, 29, 25, 75, 3, 3, 3
2024/8/2, 56, 19, 47, 3, 2, 3
2024/8/3, 58, 16, 35, 2, 2, 3
2024/8/4, 45, 18, 37, 4, 2, 3
2024/8/5, 54, 16, 46, 5, 2, 3
2024/8/6, 46, 20, 51, 5, 3, 3
2024/8/7, 59, 16, 33, 5, 3, 3
2024/8/8, 50, 14, 37, 4, 3, 3
2024/8/9, 49, 19, 43, 5, 3, 3
2024/8/10, 57, 14, 41, 4, 3, 3
2024/8/11, 42, 18, 54, 4, 3, 4
2024/8/12, 49, 22, 48, 6, 3, 5
2024/8/13, 57, 18, 50, 5, 2, 5
2024/8/14, 49, 16, 46, 4, 2, 5
2024/8/15, 51, 15, 32, 6, 2, 5
2024/8/16, 42, 15, 41, 5, 2, 5
2024/8/17, 43, 15, 44, 4, 2, 5
2024/8/18, 41, 20, 33, 4, 3, 5
2024/8/19, 52, 18, 25, 3, 2, 5
2024/8/20, 48, 17, 26, 2, 2, 5
2024/8/21, 28, 15, 44, 3, 2, 5
2024/8/22, 31, 28, 75, 6, 2, 7
2024/8/23, 75, 36, 76, 4, 2, 8
2024/8/24, 87, 24, 57, 2, 2, 7
2024/8/25, 71, 21, 61, 4, 2, 7
2024/8/26, 62, 26, 45, 5, 2, 7
2024/8/27, 70, 10, 32, 4, 2, 4
2024/8/28, 27, 13, 80, 3, 3, 3
2024/8/29, 28, 9, 48, 2, 2, 3
2024/8/30, 21, 18, 67, 3, 2, 4
2024/8/31, 49, 21, 63, 3, 3, 4
2024/7/1, 25, 20, 25, 2, 2, 3
2024/7/2, 32, 21, 61, 3, 3, 4
2024/7/3, 39, 20, 47, 3, 3, 4
2024/7/4, 39, 18, 44, 3, 3, 3
2024/7/5, 43, 18, 31, 2, 3, 2
2024/7/6, 35, 28, 31, 2, 3, 3
2024/7/7, 38, 29, 31, 4, 3, 3
2024/7/8, 47, 16, 33, 5, 3, 3
2024/7/9, 49, 12, 41, 3, 3, 3
2024/7/10, 24, 14, 40, 4, 3, 4
2024/7/11, 45, 22, 43, 4, 3, 5
2024/7/12, 65, 18, 42, 6, 3, 4
2024/7/13, 49, 6, 52, 3, 3, 4
2024/7/14, 13, 8, 35, 3, 3, 4
2024/7/15, 23, 13, 30, 4, 3, 3
2024/7/16, 31, 14, 14, 2, 2, 3
2024/7/17, 22, 20, 47, 3, 1, 3
2024/7/18, 40, 9, 39, 5, 1, 3
2024/7/19, 25, 18, 28, 3, 1, 3
2024/7/20, 28, 13, 25, 2, 1, 3
2024/7/21, 27, 10, 15, 2, 1, 3
2024/7/22, 19, 11, 16, 2, 1, 3
2024/7/23, 21, 15, 19, 3, 1, 3
2024/7/24, 23, 13, 14, 2, 1, 3
2024/7/25, 26, 12, 18, 1, 1, 3
2024/7/26, 17, 18, 19, 2, 1, 3
2024/7/27, 30, 12, 14, 1, 1, 3
2024/7/28, 16, 10, 17, 2, 1, 3
2024/7/29, 17, 9, 19, 3, 1, 3
2024/7/30, 17, 20, 19, 2, 2, 2
2024/7/31, 26, 17, 27, 2, 3, 2
2024/4/1, 53, 33, 49, 15, 2, 3
2024/4/2, 56, 6, 44, 7, 2, 3
2024/4/3, 14, 30, 42, 11, 2, 3
2024/4/4, 54, 34, 55, 10, 2, 3
2024/4/5, 62, 37, 49, 11, 2, 4
2024/4/6, 71, 40, 70, 10, 2, 4
2024/4/7, 80, 34, 57, 13, 2, 4
2024/4/8, 61, 41, 65, 11, 2, 5
2024/4/9, 68, 29, 49, 6, 2, 4
2024/4/10, 46, 29, 44, 8, 2, 4
2024/4/11, 46, 29, 47, 8, 2, 4
2024/4/12, 59, 33, 59, 11, 2, 5
2024/4/13, 65, 29, 51, 7, 2, 5
2024/4/14, 55, 15, 44, 4, 3, 5
2024/4/15, 34, 26, 53, 6, 2, 5
2024/4/16, 63, 91, 44, 7, 3, 4
2024/4/17, 93, 99, 54, 6, 3, 4
2024/4/18, 94, 54, 57, 13, 3, 4
2024/4/19, 61, 47, 48, 6, 3, 3
2024/4/20, 64, 15, 37, 8, 3, 5
2024/4/21, 43, 17, 31, 10, 3, 5
2024/4/22, 48, 28, 51, 9, 4, 6
2024/4/23, 58, 23, 53, 5, 3, 5
2024/4/24, 40, 19, 50, 6, 3, 5
2024/4/25, 31, 18, 54, 10, 3, 6
2024/4/26, 35, 15, 58, 8, 3, 6
2024/4/27, 34, 19, 61, 7, 3, 6
2024/4/28, 38, 17, 39, 5, 3, 6
2024/4/29, 21, 43, 44, 6, 3, 5
2024/4/30, 72, 26, 38, 6, 3, 5
2024/5/1, 37, 24, 59, 7, 2, 5
2024/5/2, 50, 32, 71, 8, 3, 5
2024/5/3, 58, 25, 42, 8, 3, 5
2024/5/4, 63, 9, 36, 2, 2, 4
2024/5/5, 16, 17, 59, 3, 3, 6
2024/5/6, 39, 30, 54, 6, 3, 7
2024/5/7, 62, 11, 43, 4, 2, 6
2024/5/8, 21, 15, 46, 10, 3, 5
2024/5/9, 32, 17, 49, 9, 3, 6
2024/5/10, 36, 17, 40, 2, 2, 5
2024/5/11, 28, 65, 49, 2, 2, 6
2024/5/12, 44, 24, 52, 4, 2, 4
2024/5/13, 34, 22, 61, 9, 2, 3
2024/5/14, 47, 25, 52, 7, 2, 3
2024/5/15, 41, 28, 74, 3, 2, 3
2024/5/16, 27, 28, 54, 7, 2, 3
2024/5/17, 38, 23, 50, 5, 2, 3
2024/5/18, 34, 26, 58, 5, 3, 3
2024/5/19, 58, 29, 41, 6, 3, 3
2024/5/20, 60, 30, 47, 4, 2, 4
2024/5/21, 62, 32, 73, 6, 3, 5
2024/5/22, 67, 27, 52, 6, 2, 5
2024/5/23, 63, 35, 38, 4, 2, 3
2024/5/24, 78, 27, 55, 6, 2, 3
2024/5/25, 58, 18, 40, 3, 2, 3
2024/5/26, 31, 23, 57, 3, 2, 4
2024/5/27, 39, 20, 75, 4, 2, 3
2024/5/28, 36, 24, 69, 8, 2, 4
2024/5/29, 44, 25, 48, 8, 2, 4
2024/5/30, 58, 14, 49, 4, 2, 4
2024/5/31, 37, 16, 68, 2, 2, 4
2024/6/1, 35, 19, 60, 3, 2, 5
2024/6/2, 43, 19, 65, 6, 2, 4
2024/6/3, 45, 19, 52, 6, 2, 4
2024/6/4, 50, 19, 49, 5, 2, 4
2024/6/5, 51, 19, 52, 6, 3, 3
2024/6/6, 46, 24, 48, 6, 4, 3
2024/6/7, 62, 15, 42, 3, 3, 3
2024/6/8, 40, 9, 42, 2, 3, 3
2024/6/9, 22, 27, 94, 6, 3, 4
2024/6/10, 48, 25, 80, 7, 3, 4
2024/6/11, 57, 24, 64, 6, 3, 4
