date, pm25, pm10, o3, no2, so2, co
2024/9/1, 39, 24, 24, 2, 1, 2
2024/9/2, 11, , , , , 
2024/8/1, 23, 23, 31, 2, 1, 1
2024/8/2, 31, 32, 38, 2, 1, 2
2024/8/3, 58, 28, 44, 3, 2, 3
2024/8/4, 53, 30, 52, 3, 1, 2
2024/8/5, 49, 20, 37, 3, 1, 1
2024/8/6, 24, 17, 24, 2, 1, 1
2024/8/7, 22, 21, 19, 2, 1, 1
2024/8/8, 27, 24, 23, 2, 1, 1
2024/8/9, 37, 31, 64, 4, 1, 3
2024/8/10, 53, 31, 37, 3, , 3
2024/8/11, 54, 25, 36, 3, , 2
2024/8/12, 43, 25, 27, 2, , 2
2024/8/13, 37, 26, 34, 2, , 2
2024/8/14, 35, 25, 40, 2, , 2
2024/8/15, 40, 20, 43, 2, 1, 2
2024/8/16, 32, 25, 52, 3, , 1
2024/8/17, 36, 26, 39, 3, 1, 2
2024/8/18, 43, 28, 53, 4, 1, 2
2024/8/19, 46, 27, 35, 3, 1, 1
2024/8/20, 42, 16, 20, 3, 1, 1
2024/8/21, 22, 19, 29, 3, 1, 1
2024/8/22, 11, 29, 46, 2, , 2
2024/8/23, 53, 41, 47, 3, , 4
2024/8/24, 72, 31, 35, 2, 1, 3
2024/8/25, 61, 32, 19, 3, 1, 3
2024/8/26, 54, 33, 22, 2, , 3
2024/8/27, 46, 19, 35, 2, , 2
2024/8/28, 26, 14, 28, 2, , 1
2024/8/29, 15, 32, 28, 2, 1, 1
2024/8/30, 15, 37, 35, 2, 1, 2
2024/8/31, 46, 30, 40, 3, 1, 2
2024/7/1, 29, 17, 27, 2, 2, 2
2024/7/2, 23, 21, 42, 1, 2, 3
2024/7/3, 23, 40, 52, 2, 2, 4
2024/7/4, 71, 26, 43, 1, 2, 3
2024/7/5, 22, 29, 43, 2, 2, 3
2024/7/6, 41, 25, 51, 1, 1, 3
2024/7/7, 36, 14, 29, 2, 1, 2
2024/7/8, 7, 20, 34, 3, 2, 2
2024/7/9, 23, 17, 30, 1, 2, 2
2024/7/10, 17, 26, 37, 2, 1, 3
2024/7/11, 44, 30, 32, 1, 1, 3
2024/7/12, 54, 41, 50, 3, 1, 5
2024/7/13, 77, 42, 30, 2, 1, 4
2024/7/14, 75, 29, 31, 3, 1, 3
2024/7/15, 19, 19, 34, 4, 1, 3
2024/7/16, 20, 12, 27, 3, , 2
2024/7/17, 7, 11, 24, 3, 1, 2
2024/7/18, 21, 25, 36, 2, 1, 2
2024/7/19, 39, 22, 33, 4, 2, 2
2024/7/20, 23, 23, 34, 2, 2, 2
2024/7/21, 27, 18, 20, 4, 2, 1
2024/7/22, 19, 21, 25, 2, 1, 1
2024/7/23, 15, 15, 15, 2, 2, 1
2024/7/24, 8, 21, 25, 3, 2, 1
2024/7/25, 14, 20, 27, 3, 2, 1
2024/7/26, 17, 20, 19, 4, 1, 1
2024/7/27, 16, 21, 15, 3, 2, 1
2024/7/28, 21, 22, 21, 2, 1, 
2024/7/29, 14, 22, 29, 2, 1, 1
2024/7/30, 23, 18, 24, 2, 1, 1
2024/7/31, 17, 20, 31, 3, 1, 1
2024/4/1, 55, 48, 54, 4, 2, 2
2024/4/2, 63, 54, 39, 5, 2, 2
2024/4/3, 81, 44, 50, 4, 2, 2
2024/4/4, 63, 47, 48, 6, 2, 2
2024/4/5, 69, 56, 53, 5, 2, 2
2024/4/6, 94, 55, 66, 6, 2, 2
2024/4/7, 93, 50, 55, 4, 2, 2
2024/4/8, 79, 46, 40, 3, 1, 2
2024/4/9, 61, 45, 43, 4, 1, 1
2024/4/10, 58, 48, 43, 5, 1, 1
2024/4/11, 71, 47, 45, 5, 2, 1
2024/4/12, 81, 37, 42, 3, 1, 1
2024/4/13, 61, 45, 55, 5, 2, 2
2024/4/14, 66, 22, 35, 5, 2, 1
2024/4/15, 42, 51, 37, 4, 1, 3
2024/4/16, 79, 80, 37, 4, 1, 3
2024/4/17, 81, 73, 48, 4, 2, 2
2024/4/18, 72, 73, 73, 8, 2, 2
2024/4/19, 90, 58, 42, 5, 2, 2
2024/4/20, 92, 22, 37, 3, 2, 2
2024/4/21, 28, 32, 44, 4, 2, 2
2024/4/22, 53, 24, 42, 3, 2, 1
2024/4/23, 39, 12, 32, 3, 2, 1
2024/4/24, 20, 27, 44, 5, 2, 2
2024/4/25, 54, 48, 50, 4, 2, 2
2024/4/26, 58, 44, 47, 4, 2, 2
2024/4/27, 56, 38, 49, 4, 2, 2
2024/4/28, 49, 45, 65, 4, 2, 2
2024/4/29, 62, 50, 43, 4, 2, 2
2024/4/30, 73, 33, 41, 3, 2, 2
2024/5/1, 47, 41, 47, 5, 1, 2
2024/5/2, 62, 44, 62, 4, 1, 2
2024/5/3, 62, 54, 89, 5, 1, 2
2024/5/4, 85, 28, 42, 4, 2, 2
2024/5/5, 62, 15, 42, 3, 2, 2
2024/5/6, 26, 26, 31, 3, 2, 2
2024/5/7, 43, 25, 33, 3, 2, 2
2024/5/8, 39, 32, 52, 5, 2, 2
2024/5/9, 53, 35, 48, 6, 2, 2
2024/5/10, 59, 20, 31, 4, 2, 2
2024/5/11, 25, 54, 40, 2, 2, 3
2024/5/12, 44, 31, 47, 3, 1, 3
2024/5/13, 40, 32, 55, 4, 1, 3
2024/5/14, 41, 23, 34, 3, 1, 3
2024/5/15, 27, 18, 43, 3, 1, 3
2024/5/16, 14, 39, 54, 6, 2, 3
2024/5/17, 54, 29, 38, 5, 2, 2
2024/5/18, 32, 24, 33, 3, 2, 2
2024/5/19, 26, 30, 31, 3, 2, 3
2024/5/20, 42, 37, 61, 4, 2, 3
2024/5/21, 62, 33, 40, 3, 2, 3
2024/5/22, 54, 27, 28, 3, 2, 2
2024/5/23, 44, 34, 28, 3, 1, 2
