date, pm25, pm10, o3, no2, so2, co
2024/9/1, 74, 26, 23, 26, 3, 5
2024/9/2, 58, , , , , 
2024/8/1, 44, 32, 46, 19, 3, 5
2024/8/2, 56, 39, 81, 21, 3, 5
2024/8/3, 77, 42, 87, 23, 3, 6
2024/8/4, 73, 35, 66, 25, 3, 5
2024/8/5, 65, 23, 77, 26, 3, 5
2024/8/6, 40, 32, 47, 26, 2, 5
2024/8/7, 52, 27, 47, 24, 2, 5
2024/8/8, 52, 35, 88, 28, 2, 5
2024/8/9, 65, 37, 62, 28, 2, 5
2024/8/10, 72, 33, 44, 22, 2, 5
2024/8/11, 65, 34, 89, 26, 2, 5
2024/8/12, 66, 38, 62, 31, 1, 5
2024/8/13, 67, 34, 54, 30, 2, 5
2024/8/14, 61, 30, 63, 22, 1, 5
2024/8/15, 59, 35, 55, 24, 2, 4
2024/8/16, 55, 28, 63, 21, 2, 4
2024/8/17, 53, 26, 52, 16, 2, 4
2024/8/18, 51, 30, 48, 29, 2, 5
2024/8/19, 58, 34, 37, 30, 2, 5
2024/8/20, 63, 18, 18, 20, 1, 4
2024/8/21, 29, 22, 31, 16, 2, 4
2024/8/22, 30, 33, 79, 26, 2, 6
2024/8/23, 62, 48, 74, 30, 2, 7
2024/8/24, 87, 41, 57, 25, 1, 6
2024/8/25, 77, 43, 52, 35, 2, 7
2024/8/26, 84, 30, 30, 31, 2, 6
2024/8/27, 58, 21, 40, 29, 2, 5
2024/8/28, 42, 18, 36, 31, 2, 4
2024/8/29, 28, 22, 54, 29, 2, 4
2024/8/30, 38, 39, 89, 29, 2, 5
2024/8/31, 69, 38, 74, 21, 2, 6
2024/7/1, 60, 25, 35, 31, 2, 4
2024/7/2, 43, 29, 52, 18, 2, 5
2024/7/3, 52, 43, 74, 24, 2, 5
2024/7/4, 80, 23, 58, 23, 2, 5
2024/7/5, 50, 35, 40, 20, 2, 5
2024/7/6, 61, 24, 45, 10, 2, 4
2024/7/7, 50, 17, 26, 28, 2, 4
2024/7/8, 33, 22, 29, 26, 1, 4
2024/7/9, 32, 20, 52, 27, 2, 4
2024/7/10, 31, 40, 77, 25, 2, 5
2024/7/11, 72, 41, 77, 33, 2, 6
2024/7/12, 73, 55, 68, 31, 1, 6
2024/7/13, 98, 35, 43, 17, 2, 4
2024/7/14, 69, 15, 44, 24, 2, 3
2024/7/15, 32, 25, 35, 23, 2, 4
2024/7/16, 38, 18, 17, 14, 2, 4
2024/7/17, 25, 14, 22, 21, 2, 4
2024/7/18, 23, 30, 59, 22, 1, 5
2024/7/19, 52, 20, 37, 17, 2, 4
2024/7/20, 38, 27, 38, 14, 2, 4
2024/7/21, 47, 17, 15, 12, 2, 4
2024/7/22, 30, 15, 13, 13, 2, 4
2024/7/23, 23, 24, 24, 16, 2, 4
2024/7/24, 35, 26, 38, 20, 1, 4
2024/7/25, 38, 26, 28, 18, 2, 4
2024/7/26, 36, 22, 22, 13, 1, 4
2024/7/27, 34, 23, 17, 9, 2, 4
2024/7/28, 32, 22, 24, 11, 2, 4
2024/7/29, 35, 27, 45, 17, 2, 4
2024/7/30, 46, 20, 32, 17, 2, 4
2024/7/31, 42, 24, 41, 16, 2, 4
2024/4/1, 59, 54, 68, 48, 3, 6
2024/4/2, 83, 45, 34, 48, 3, 7
2024/4/3, 71, 34, 47, 31, 2, 5
2024/4/4, 56, 40, 60, 30, 2, 5
2024/4/5, 65, 56, 65, 42, 3, 6
2024/4/6, 98, 52, 83, 39, 3, 7
2024/4/7, 93, 55, 56, 56, 4, 7
2024/4/8, 104, 44, 48, 36, 2, 6
2024/4/9, 70, 44, 56, 23, 2, 5
2024/4/10, 62, 50, 44, 37, 2, 6
2024/4/11, 67, 52, 58, 42, 3, 6
2024/4/12, 77, 50, 64, 34, 2, 6
2024/4/13, 67, 50, 86, 36, 4, 6
2024/4/14, 71, 28, 44, 35, 3, 5
2024/4/15, 46, 58, 51, 26, 2, 5
2024/4/16, 84, 112, 44, 31, 3, 6
2024/4/17, 121, 91, 57, 39, 4, 6
2024/4/18, 86, 69, 111, 45, 4, 6
2024/4/19, 86, 59, 44, 38, 3, 6
2024/4/20, 95, 18, 41, 25, 2, 4
2024/4/21, 27, 32, 50, 36, 2, 4
2024/4/22, 58, 24, 54, 30, 2, 4
2024/4/23, 47, 19, 32, 24, 2, 4
2024/4/24, 35, 38, 66, 32, 2, 5
2024/4/25, 77, 70, 65, 46, 3, 7
2024/4/26, 96, 53, 77, 40, 3, 6
2024/4/27, 69, 37, 95, 35, 3, 5
2024/4/28, 59, 43, 61, 40, 2, 5
2024/4/29, 68, 53, 64, 33, 3, 5
2024/4/30, 84, 34, 51, 27, 1, 4
2024/5/1, 63, 40, 67, 37, 2, 4
2024/5/2, 65, 48, 90, 49, 3, 5
2024/5/3, 76, 51, 118, 46, 4, 6
2024/5/4, 94, 34, 34, 27, 1, 4
2024/5/5, 58, 12, 45, 21, 1, 4
2024/5/6, 26, 26, 39, 28, 1, 4
2024/5/7, 46, 23, 41, 26, 1, 3
2024/5/8, 42, 33, 72, 29, 2, 4
2024/5/9, 59, 35, 73, 29, 3, 5
2024/5/10, 57, 24, 41, 24, 1, 5
2024/5/11, 46, 59, 44, 16, 1, 3
