date, pm25, pm10, o3, no2, so2, co
2024/9/1, 69, 21, 37, 13, 1, 5
2024/9/2, 50, , , , , 
2024/8/1, 28, 21, 42, 3, 1, 3
2024/8/2, 42, 26, 65, 3, 1, 4
2024/8/3, 61, 28, 68, 6, 1, 5
2024/8/4, 68, 24, 40, 7, 1, 4
2024/8/5, 63, 12, 51, 7, 1, 3
2024/8/6, 31, 18, 37, 10, 1, 3
2024/8/7, 45, 19, 37, 9, 1, 4
2024/8/8, 45, 26, 75, 11, 1, 5
2024/8/9, 62, 29, 51, 13, 2, 6
2024/8/10, 69, 27, 43, 7, 2, 5
2024/8/11, 62, 26, 76, 10, 2, 5
2024/8/12, 65, 25, 64, 9, 1, 5
2024/8/13, 62, 23, 55, 11, 1, 5
2024/8/14, 53, 20, 59, 7, 1, 5
2024/8/15, 49, 19, 48, 8, 1, 5
2024/8/16, 48, 19, 64, 8, 1, 5
2024/8/17, 46, 16, 38, 4, 1, 5
2024/8/18, 36, 19, 51, 9, 1, 6
2024/8/19, 54, 26, 40, 8, 1, 5
2024/8/20, 65, 15, 12, 7, 1, 4
2024/8/21, 24, 12, 26, 5, 1, 4
2024/8/22, 23, 23, 60, 6, 1, 6
2024/8/23, 54, 37, 64, 9, 1, 7
2024/8/24, 86, 29, 50, 7, 1, 7
2024/8/25, 71, 33, 56, 14, 1, 7
2024/8/26, 73, 21, 24, 14, 1, 6
2024/8/27, 49, 14, 42, 9, 1, 5
2024/8/28, 30, 10, 35, 7, 1, 4
2024/8/29, 25, 14, 49, 10, 1, 4
2024/8/30, 26, 34, 76, 10, 1, 5
2024/8/31, 60, 31, 56, 8, 2, 5
2024/7/1, 59, 19, 28, 10, 1, 5
2024/7/2, 44, 19, 54, 2, 1, 5
2024/7/3, 44, 32, 69, 6, 1, 5
2024/7/4, 75, 16, 51, , 1, 4
2024/7/5, 48, 25, 37, 6, 1, 5
2024/7/6, 60, 19, 42, 4, 1, 5
2024/7/7, 46, 9, 23, 11, 1, 4
2024/7/8, 32, 14, 19, 11, 2, 4
2024/7/9, 32, 11, 56, 8, 2, 3
2024/7/10, 24, 33, 61, 10, 2, 5
2024/7/11, 71, 30, 66, 13, 1, 6
2024/7/12, 69, 42, 60, 11, 1, 7
2024/7/13, 97, 31, 40, 5, 1, 5
2024/7/14, 73, 11, 34, 5, 1, 4
2024/7/15, 23, 13, 29, 7, 1, 4
2024/7/16, 34, 11, 13, 4, 1, 3
2024/7/17, 20, 8, 20, 8, 1, 4
2024/7/18, 24, 18, 47, 6, 1, 5
2024/7/19, 47, 12, 31, 5, 1, 4
2024/7/20, 35, 19, 33, 2, 1, 4
2024/7/21, 42, 11, 13, 4, 1, 3
2024/7/22, 25, 9, 9, 6, 1, 3
2024/7/23, 17, 14, 17, 6, 1, 3
2024/7/24, 28, 16, 25, 6, 1, 3
2024/7/25, 28, 14, 22, 7, 1, 3
2024/7/26, 29, 13, 16, 6, 1, 3
2024/7/27, 31, 14, 11, 2, 1, 2
2024/7/28, 29, 17, 18, 3, 1, 3
2024/7/29, 31, 17, 31, 3, 1, 3
2024/7/30, 33, 14, 21, 5, 1, 3
2024/7/31, 31, 15, 30, 4, 1, 3
2024/4/1, 47, 41, 59, 23, 1, 4
2024/4/2, 62, 25, 33, 19, 1, 4
2024/4/3, 52, 28, 38, 12, 1, 3
2024/4/4, 52, 37, 50, 8, 1, 3
2024/4/5, 66, 55, 62, 20, 1, 4
2024/4/6, 97, 49, 79, 17, 2, 4
2024/4/7, 89, 51, 34, 34, 2, 5
2024/4/8, 94, 39, 44, 21, 1, 4
2024/4/9, 65, 44, 48, 8, 1, 3
2024/4/10, 58, 50, 47, 17, 1, 4
2024/4/11, 65, 48, 57, 20, 1, 4
2024/4/12, 73, 36, 58, 17, 1, 4
2024/4/13, 64, 41, 69, 17, 2, 4
2024/4/14, 68, 17, 39, 10, 1, 3
2024/4/15, 45, 54, 47, 11, 1, 4
2024/4/16, 94, 102, 35, 16, 1, 5
2024/4/17, 105, 93, 40, 22, 1, 4
2024/4/18, 80, 67, 94, 19, 2, 4
2024/4/19, 82, 50, 38, 14, 1, 5
2024/4/20, 91, 12, 37, 5, 1, 3
2024/4/21, 25, 29, 47, 9, 1, 3
2024/4/22, 54, 23, 49, 7, 1, 3
2024/4/23, 51, 14, 35, 7, 1, 3
2024/4/24, 28, 37, 51, 13, 1, 4
2024/4/25, 81, 65, 79, 23, 1, 6
2024/4/26, 86, 54, 67, 19, 1, 5
2024/4/27, 95, 25, 76, 14, 1, 4
2024/4/28, 53, 36, 48, 12, 1, 4
2024/4/29, 63, 50, 53, 12, 1, 5
2024/4/30, 91, 28, 48, 9, 1, 3
2024/5/1, 64, 33, 59, 16, 1, 4
2024/5/2, 64, 43, 73, 22, 1, 4
