date, pm25, pm10, o3, no2, so2, co
2024/9/1, 81, 21, 27, 22, 3, 5
2024/9/2, 56, , , , , 
2024/8/1, 44, 42, 47, 12, 3, 5
2024/8/2, 57, 40, 72, 14, 2, 6
2024/8/3, 69, 40, 81, 20, 3, 7
2024/8/4, 74, 45, 60, 19, 3, 7
2024/8/5, 73, 23, 61, 19, 2, 5
2024/8/6, 40, 32, 50, 22, 3, 5
2024/8/7, 59, 26, 47, 19, 3, 5
2024/8/8, 51, 36, 89, 26, 2, 6
2024/8/9, 65, 42, 69, 23, 2, 6
2024/8/10, 78, 43, 54, 14, 2, 5
2024/8/11, 73, 39, 80, 26, 3, 6
2024/8/12, 68, 40, 81, 26, 2, 6
2024/8/13, 68, 34, 79, 23, 2, 5
2024/8/14, 62, 35, 82, 18, 2, 6
2024/8/15, 65, 28, 67, 21, 2, 5
2024/8/16, 59, 31, 81, 17, 2, 5
2024/8/17, 63, 23, 47, 12, 2, 6
2024/8/18, 54, 36, 72, 23, 3, 6
2024/8/19, 77, 32, 49, 20, 3, 6
2024/8/20, 72, 16, 20, 11, 2, 5
2024/8/21, 35, 20, 34, 12, 2, 4
2024/8/22, 34, 26, 70, 19, 3, 6
2024/8/23, 67, 35, 72, 22, 3, 6
2024/8/24, 96, 28, 67, 20, 3, 5
2024/8/25, 85, 40, 71, 34, 3, 6
2024/8/26, 89, 27, 30, 23, 2, 5
2024/8/27, 64, 18, 53, 20, 3, 4
2024/8/28, 50, 13, 42, 15, 2, 4
2024/8/29, 36, 16, 57, 20, 3, 4
2024/8/30, 39, 42, 90, 22, 3, 6
2024/8/31, 76, 37, 69, 17, 3, 7
2024/7/1, 74, 29, 29, 23, 2, 5
2024/7/2, 55, 35, 57, 13, 2, 5
2024/7/3, 73, 53, 74, 13, 2, 6
2024/7/4, 105, 25, 51, 5, 2, 5
2024/7/5, 50, 40, 38, 14, 2, 5
2024/7/6, 72, 31, 46, 10, 1, 5
2024/7/7, 64, 16, 28, 17, 1, 5
2024/7/8, 38, 21, 26, 17, 1, 4
2024/7/9, 50, 16, 62, 15, 2, 4
2024/7/10, 40, 45, 64, 18, 2, 6
2024/7/11, 101, 48, 82, 22, 2, 6
2024/7/12, 97, 64, 78, 21, 2, 7
2024/7/13, 127, 37, 46, 18, 2, 5
2024/7/14, 75, 19, 46, 11, 2, 4
2024/7/15, 36, 21, 37, 15, 1, 5
2024/7/16, 47, 17, 20, 9, 1, 3
2024/7/17, 33, 15, 26, 15, 1, 4
2024/7/18, 31, 30, 49, 15, 2, 5
2024/7/19, 61, 21, 38, 15, 1, 4
2024/7/20, 47, 40, 35, 9, 2, 5
2024/7/21, 57, 18, 16, 8, 2, 4
2024/7/22, 39, 19, 13, 11, 1, 4
2024/7/23, 39, 27, 22, 13, 1, 4
2024/7/24, 40, 31, 34, 14, 2, 4
2024/7/25, 45, 23, 31, 12, 1, 6
2024/7/26, 44, 22, 24, 12, 1, 6
2024/7/27, 45, 20, 18, 7, 1, 5
2024/7/28, 44, 32, 23, 8, 2, 4
2024/7/29, 46, 32, 39, 13, 2, 5
2024/7/30, 54, 25, 27, 11, 2, 4
2024/7/31, 44, 27, 34, 11, 2, 4
2024/4/1, 66, 59, 68, 38, 3, 6
2024/4/2, 82, 35, 37, 29, 2, 6
2024/4/3, 81, 37, 48, 21, 2, 5
2024/4/4, 74, 43, 68, 19, 2, 4
2024/4/5, 82, 59, 86, 34, 3, 6
2024/4/6, 126, 56, 101, 32, 3, 6
2024/4/7, 120, 59, 38, 49, 3, 8
2024/4/8, 116, 49, 59, 27, 2, 5
2024/4/9, 94, 49, 49, 14, 2, 5
2024/4/10, 81, 52, 63, 28, 2, 6
2024/4/11, 95, 52, 61, 38, 3, 6
2024/4/12, 91, 53, 62, 35, 3, 6
2024/4/13, 89, 51, 78, 34, 3, 6
2024/4/14, 87, 33, 47, 21, 2, 5
2024/4/15, 62, 65, 58, 22, 3, 6
2024/4/16, 126, 108, 44, 26, 2, 6
2024/4/17, 140, 106, 63, 37, 3, 6
2024/4/18, 117, 76, 98, 37, 4, 7
2024/4/19, 111, 68, 46, 27, 2, 7
2024/4/20, 109, 20, 44, 9, 2, 4
2024/4/21, 32, 38, 58, 17, 2, 4
2024/4/22, 74, 32, 57, 17, 2, 4
2024/4/23, 73, 23, 42, 16, 2, 4
2024/4/24, 56, 43, 62, 26, 2, 6
2024/4/25, 97, 70, 91, 43, 3, 8
2024/4/26, 137, 65, 75, 31, 3, 7
2024/4/27, 117, 40, 86, 27, 2, 5
2024/4/28, 72, 53, 52, 25, 3, 5
2024/4/29, 80, 60, 57, 23, 3, 7
2024/4/30, 115, 63, 56, 17, 2, 5
2024/5/1, 83, 41, 53, 22, 2, 5
2024/5/2, 70, 47, 90, 31, 3, 4
2024/5/3, 96, 58, 115, 37, 3, 6
2024/5/4, 116, 33, 32, 15, 2, 5
2024/5/5, 70, 16, 46, 13, 1, 5
2024/5/6, 43, 25, 39, 14, 1, 4
2024/5/7, 65, 24, 40, 20, 1, 3
2024/5/8, 57, 29, 58, 21, 2, 4
2024/5/9, 68, 39, 61, 23, 3, 5
2024/5/10, 71, 31, 38, 16, 2, 4
2024/5/11, 57, 65, 44, 12, 2, 4
2024/5/12, 77, 37, 55, 27, 2, 5
2024/5/13, 70, 39, 64, 27, 3, 4
2024/5/14, 72, 30, 43, 18, 2, 3
2024/5/15, 47, 22, 53, 15, 2, 3
2024/5/16, 38, 47, 76, 24, 3, 5
2024/5/17, 88, 34, 53, 22, 2, 5
2024/5/18, 63, 30, 65, 17, 2, 5
2024/5/19, 63, 34, 38, 20, 2, 5
2024/5/20, 71, 45, 61, 18, 1, 5
2024/5/21, 107, 55, 52, 18, 2, 4
2024/5/22, 112, 36, 67, 24, 4, 4
2024/5/23, 82, 41, 41, 17, 2, 4
2024/5/24, 97, 35, 54, 17, 2, 3
2024/5/25, 68, 29, 43, 11, 2, 4
2024/5/26, 63, 35, 47, 14, 2, 4
2024/5/27, 71, 25, 37, 20, 1, 3
2024/5/28, 55, 29, 65, 27, 3, 4
2024/5/29, 63, 32, 63, 38, 3, 5
2024/5/30, 64, 28, 60, 25, 2, 4
2024/5/31, 63, 35, 48, 11, 2, 4
2024/6/1, 71, 29, 57, 13, 2, 4
2024/6/2, 60, 23, 43, 16, 2, 3
